source,target,id,developer_comments
metadata#0x0000efbb+10,Delete,metadata#0x0000efbb+10,
metadata#0x00028382+35,Steam is not running.,metadata#0x00028382+35,
metadata#0x0003b4a5+245,"■ Copyright Notice ■

This software uses ""CRIWARE (TM)"" by CRI Middleware Co., Ltd. 

Supported by Fontworks Co., Ltd.",metadata#0x0003b4a5+245,
metadata#0x0003b5fa+88,"Cancel checking the save data for ""%TITLE_NAME%""?",metadata#0x0003b5fa+88,
metadata#0x0003b652+72,"Checking save data for ""%TITLE_NAME%"".",metadata#0x0003b652+72,
metadata#0x0003b72d+18,Kaori Route,metadata#0x0003b72d+18,
metadata#0x0003b73f+51,Save your progress so far?,metadata#0x0003b73f+51,
metadata#0x0003b772+36,Return to this scene?,metadata#0x0003b772+36,
metadata#0x0003b796+51,Load this save data?,metadata#0x0003b796+51,
metadata#0x0003b7c9+48,Delete this save data?,metadata#0x0003b7c9+48,
metadata#0x0003b7f9+48,Erase this save data?,metadata#0x0003b7f9+48,
metadata#0x0003b829+73,"This action cannot be undone.
Are you sure?",metadata#0x0003b829+73,
metadata#0x0003b872+33,Is this okay?,metadata#0x0003b872+33,
metadata#0x0003b893+36,Please wait a moment.,metadata#0x0003b893+36,
metadata#0x0003b8b7+122,"Please wait a moment.

Do not turn off the console or exit the game.",metadata#0x0003b8b7+122,
metadata#0x0003b931+6,Yes,metadata#0x0003b931+6,
metadata#0x0003b937+16,"Yes, No",metadata#0x0003b937+16,
metadata#0x0003b947+18,Hizuru Route,metadata#0x0003b947+18,
metadata#0x0003b95f+15,Epilogue,metadata#0x0003b95f+15,
metadata#0x0003b96e+42,Epilogue has been unlocked.,metadata#0x0003b96e+42,
metadata#0x0003b998+27,Epilogue: Kaori,metadata#0x0003b998+27,
metadata#0x0003b9b3+27,Epilogue: Hizuru,metadata#0x0003b9b3+27,
metadata#0x0003b9ce+21,Epilogue: Ushio,metadata#0x0003b9ce+21,
metadata#0x0003b9e3+21,Epilogue: Mio,metadata#0x0003b9e3+21,
metadata#0x0003b9f8+60,Cannot save here as it is an auto-save point.,metadata#0x0003b9f8+60,
metadata#0x0003ba34+54,Reset key configuration settings?,metadata#0x0003ba34+54,
metadata#0x0003ba6a+36,Quick save completed.,metadata#0x0003ba6a+36,
metadata#0x0003ba8e+36,Quick save?,metadata#0x0003ba8e+36,
metadata#0x0003bab2+63,Cannot save here as it is a quick save point.,metadata#0x0003bab2+63,
metadata#0x0003baf1+21,Quick Load,metadata#0x0003baf1+21,
metadata#0x0003bb06+36,Quick load completed.,metadata#0x0003bb06+36,
metadata#0x0003bb2a+36,Quick load?,metadata#0x0003bb2a+36,
metadata#0x0003bb4e+33,End the game?,metadata#0x0003bb4e+33,
metadata#0x0003bb6f+45,Reset sound settings?,metadata#0x0003bb6f+45,
metadata#0x0003bb9c+48,System data is damaged.,metadata#0x0003bb9c+48,
metadata#0x0003bbcc+147,"System data is damaged.

Delete the damaged system data and
create new system data.",metadata#0x0003bbcc+147,
metadata#0x0003bc5f+119,"System data is damaged.

All unreadable system data will be deleted.",metadata#0x0003bc5f+119,
metadata#0x0003bcd6+54,Failed to create system data.,metadata#0x0003bcd6+54,
metadata#0x0003bd0c+137,"Saving system data.

Do not turn off the console or exit the game.",metadata#0x0003bd0c+137,
metadata#0x0003bd95+48,Loaded system data.,metadata#0x0003bd95+48,
metadata#0x0003bdc5+134,"Creating system data.

Do not turn off the console or exit the game.",metadata#0x0003bdc5+134,
metadata#0x0003be4b+45,Created system data.,metadata#0x0003be4b+45,
metadata#0x0003be78+45,Reset system settings?,metadata#0x0003be78+45,
metadata#0x0003bea5+42,End scene playback?,metadata#0x0003bea5+42,
metadata#0x0003becf+45,Scene data is damaged.,metadata#0x0003becf+45,
metadata#0x0003befc+113,"Saving.

Do not turn off the console or exit the game.",metadata#0x0003befc+113,
metadata#0x0003bf6d+24,Saved.,metadata#0x0003bf6d+24,
metadata#0x0003bf85+33,Save failed.,metadata#0x0003bf85+33,
metadata#0x0003bfa6+42,Cancel save?,metadata#0x0003bfa6+42,
metadata#0x0003bfd0+39,No save data.,metadata#0x0003bfd0+39,
metadata#0x0003bff7+45,Save data is damaged.,metadata#0x0003bff7+45,
metadata#0x0003c024+138,"Save data is damaged.

Delete the damaged save data and
create new save data.",metadata#0x0003c024+138,
metadata#0x0003c0ae+113,"Save data is damaged.

All unreadable save data will be deleted.",metadata#0x0003c0ae+113,
metadata#0x0003c11f+51,Failed to create save data.,metadata#0x0003c11f+51,
metadata#0x0003c152+51,Checking save data.,metadata#0x0003c152+51,
metadata#0x0003c185+45,Load save data?,metadata#0x0003c185+45,
metadata#0x0003c1b2+45,Overwrite save data?,metadata#0x0003c1b2+45,
metadata#0x0003c1df+131,"Creating save data.

Do not turn off the console or exit the game.",metadata#0x0003c1df+131,
metadata#0x0003c262+42,Created save data.,metadata#0x0003c262+42,
metadata#0x0003c28c+33,Return to title?,metadata#0x0003c28c+33,
metadata#0x0003c2ad+92,"Return to title?

Unsaved data will be lost.",metadata#0x0003c2ad+92,
