source,target,id,developer_comments
text#d41d8cd98f00b204e9800998ecf8427e,,text#d41d8cd98f00b204e9800998ecf8427e,
text#7633f2a1d092f5f11bec2d4968f7f8cd,Auto Save,text#7633f2a1d092f5f11bec2d4968f7f8cd,
text#2551708366d1170ffd646c67f190dec2,Quick Save,text#2551708366d1170ffd646c67f190dec2,
text#c60bcd2bb4788885efc8730249d8b2b9,(10th Loop),text#c60bcd2bb4788885efc8730249d8b2b9,
text#53f2ab4dd9505188c34201d5a9b97e77,[Hitogashima],text#53f2ab4dd9505188c34201d5a9b97e77,
text#edd939caa0b8fb8585ade8593e0c8559,■■■■■■■■Centered Text■■■■■■■■,text#edd939caa0b8fb8585ade8593e0c8559,
text#39409cbc0198e6c8f9bc9161f7484091,○,text#39409cbc0198e6c8f9bc9161f7484091,
text#71f0240b1ebc4340e42d3b031ac9f0b7,Day 1 'Make Dinner Curry A-I-U-E-O',text#71f0240b1ebc4340e42d3b031ac9f0b7,
text#fcba5c2517e0b9bfa4822cde5146bdb5,20 hours 52 minutes,text#fcba5c2517e0b9bfa4822cde5146bdb5,
text#5bd5d96124e64eab7123e909354ff9d7,Day 4 Gravel Road Midnight Incident,text#5bd5d96124e64eab7123e909354ff9d7,
text#4e54835c6e9cf0b901bd7c2ca14cf255,"7: Available if Sub-Story 2 has not been completed,
   and Main Story 10 Ishida, Katakura route not cleared",text#4e54835c6e9cf0b901bd7c2ca14cf255,
text#e9a46236e9fac4e6dfd083ccca8d1fc1,2026-07-22 00:00:00,text#e9a46236e9fac4e6dfd083ccca8d1fc1,
text#cf50403b48fee8f0cd18c3df255c8533,"8: Available if Main Story 9 Musashi route or
   Main Story 10 Miyagi, Nakamura, Tomiyama routes not cleared,
   and Main Story 10 Miyagi, Nakamura, Tomiyama routes not cleared",text#cf50403b48fee8f0cd18c3df255c8533,
text#5e28a02b3ab42af196cbaa6d1e59f51b,BGM Volume,text#5e28a02b3ab42af196cbaa6d1e59f51b,
text#becfa1714afa637cafb80df1dca57ac8,CG,text#becfa1714afa637cafb80df1dca57ac8,
text#eea1cf2dedf52101c6fc6f66378c6b7a,CG Collection Rate:,text#eea1cf2dedf52101c6fc6f66378c6b7a,
text#96b561987f2a3126fb46e0177103b900,SE Volume,text#96b561987f2a3126fb46e0177103b900,
text#7e205a57854149d488e65126a09537eb,To Epilogue,text#7e205a57854149d488e65126a09537eb,
text#13bab40d36bee15088c599fbebf9fb25,To Kaori Route,text#13bab40d36bee15088c599fbebf9fb25,
text#0e8a38f074acec92345c2a371ab6ebc3,To Hizuru Route,text#0e8a38f074acec92345c2a371ab6ebc3,
text#98eb9340108a2f98a5ce1ef5573c1cae,To Tokiko Route,text#98eb9340108a2f98a5ce1ef5573c1cae,
text#c337908f81341fcdb8f78324f6775dc1,To Ushio Route,text#c337908f81341fcdb8f78324f6775dc1,
text#25f957867416916e4139747c78bfd753,To Totsumura Route,text#25f957867416916e4139747c78bfd753,
text#8440e0d001c2d527c422023835a8b669,To Mio Route,text#8440e0d001c2d527c422023835a8b669,
text#6407a3587f6e5a9468bc7f3afbbb7b57,"X: Pairing
Y: Theme (1-6)
L: Theme 7
R: Theme 8

※Themes 1-6 and 7/8 can coexist",text#6407a3587f6e5a9468bc7f3afbbb7b57,
text#f8a5c84342708154a2a074940457a296,Ahahahaha,text#f8a5c84342708154a2a074940457a296,
text#3a2fdfd21044ee3e4ce8a5fd8c43f012,Ahahahahaha,text#3a2fdfd21044ee3e4ce8a5fd8c43f012,
text#a000c85219da5d0b080ac757419d690e,Ahahahahahahai,text#a000c85219da5d0b080ac757419d690e,
text#d6bf352edcfb519093ee41194ba87d62,Ahahahahahahaii,text#d6bf352edcfb519093ee41194ba87d62,
text#3fe6d65f4b0a27da52252277ee8c7973,A-i-u-e-o-ki-ku-ke-ko-sa-shi-su-se-so-ta,text#3fe6d65f4b0a27da52252277ee8c7973,
text#512f6c71ebbc4833eaa68e9564461e70,A-i-u-e-o-ki-ku-ke-ko-sa-shi-su-se-so-ta-ti-tsu-te-to,text#512f6c71ebbc4833eaa68e9564461e70,
text#6dd427a02e4ccf60589bcd004aac6d6e,Window Mode,text#6dd427a02e4ccf60589bcd004aac6d6e,
text#ba6e2a0e0247fde91eaa860ed2003ca4,Window Clear,text#ba6e2a0e0247fde91eaa860ed2003ca4,
text#8791848b7a046ae404fce2639fd13ce5,Epilogue,text#8791848b7a046ae404fce2639fd13ce5,
text#70882520bf050fb017732ec8479e8813,Auto Save completed,text#70882520bf050fb017732ec8479e8813,
text#bc1194c8d982ea1950b85edd662c666c,Save screenshots during auto-play,text#bc1194c8d982ea1950b85edd662c666c,
text#dde96d2596114ee708bd79cc5a9c4de6,Off,text#dde96d2596114ee708bd79cc5a9c4de6,
text#cac86f2317798f150e60d681868b2ab2,Options,text#cac86f2317798f150e60d681868b2ab2,
text#22464d7c2ed716c1d7ac1c9f8ed1019a,On,text#22464d7c2ed716c1d7ac1c9f8ed1019a,
text#f7f8a910d5b42f50c76b734d7cf099c5,Cursor Movement,text#f7f8a910d5b42f50c76b734d7cf099c5,
text#5a28163783f6921062c8ff639b301c26,Guide On/Off,text#5a28163783f6921062c8ff639b301c26,
text#f8073d1b014ca1a18537e92a26d59567,Guide On/Off,text#f8073d1b014ca1a18537e92a26d59567,
text#1622e9d060c8633f6fbeae321c0bb561,Kaori Route,text#1622e9d060c8633f6fbeae321c0bb561,
text#6ef34982969f60212f6f2565454d7beb,Cancel,text#6ef34982969f60212f6f2565454d7beb,
text#0bd1ce2eea356832f93576c77ad2a2b3,Quick Save,text#0bd1ce2eea356832f93576c77ad2a2b3,
text#a1681cf5f9c7a3fa47306bdd37fe3dc7,Quick Save completed,text#a1681cf5f9c7a3fa47306bdd37fe3dc7,
text#af0ae6ccfcff689f31e8d98e7003e6a5,Quick Load,text#af0ae6ccfcff689f31e8d98e7003e6a5,
text#7b4c6a1589a08428a148d525a74da373,Start Game,text#7b4c6a1589a08428a148d525a74da373,
text#34bb3e1671f697e07ab806c6b39f91e8,Sound,text#34bb3e1671f697e07ab806c6b39f91e8,
text#2e8e42e60e535e7173d9b58f7cd5f91b,Scene,text#2e8e42e60e535e7173d9b58f7cd5f91b,
text#ae39ac844cdb5da4d6d530942724802b,Scene Skip,text#ae39ac844cdb5da4d6d530942724802b,
text#6b46505ad5d38932a5771f1261e21b1a,System,text#6b46505ad5d38932a5771f1261e21b1a,
text#11538fb346217d1a3595c72ec843611e,System SE Volume,text#11538fb346217d1a3595c72ec843611e,
text#defc32252c5c106761c69abf4b91ce53,Scenario,text#defc32252c5c106761c69abf4b91ce53,
text#c3b28d9e721bb954e97f948d5b484aed,Scenario Completion Rate:,text#c3b28d9e721bb954e97f948d5b484aed,
text#e416b734dfa83bccdd4f39d9912e1fb4,Jump,text#e416b734dfa83bccdd4f39d9912e1fb4,
text#be2cda9a6076b0e63247226ecf50b725,Skip Mode,text#be2cda9a6076b0e63247226ecf50b725,
text#5e8bd753595690ce0b2a0191efe1b736,Screen Mode,text#5e8bd753595690ce0b2a0191efe1b736,
text#69208d1acc2923b720bb384aabb079c3,Scroll Movement,text#69208d1acc2923b720bb384aabb079c3,
text#24ef6b20ec60fe5fd7f7858e75f546c2,Save,text#24ef6b20ec60fe5fd7f7858e75f546c2,
text#5a9e237f309b1cd8b9bc3c697faadaf0,No save data,text#5a9e237f309b1cd8b9bc3c697faadaf0,
text#02e915b7b24f12938773a12ba5fc2fbb,Other,text#02e915b7b24f12938773a12ba5fc2fbb,
text#6d2e935eb12dbf6247a8f8c50db04c02,Return to Title,text#6d2e935eb12dbf6247a8f8c50db04c02,
text#8fb14d4337ff51ddb674c0c2999ee219,Return to Title,text#8fb14d4337ff51ddb674c0c2999ee219,
text#1b23f0556c700cc1f73bfdc5568ffb74,Tab Switch,text#1b23f0556c700cc1f73bfdc5568ffb74,
text#c92dabecdabc70a998f13d82579da2a4,Delete Data,text#c92dabecdabc70a998f13d82579da2a4,
text#c46e0a2ef9d95c0ddab0c39998ab66a8,Vibration,text#c46e0a2ef9d95c0ddab0c39998ab66a8,
text#09e693123fe477c5be336abd581d7807,Hizuru Route,text#09e693123fe477c5be336abd581d7807,
text#278138ae7ca7255c43f0d5b50b5a9b15,Full Screen,text#278138ae7ca7255c43f0d5b50b5a9b15,
text#b6e2ba98e722a691b0c9faf086f8bf71,Play Time,text#b6e2ba98e722a691b0c9faf086f8bf71,
text#28e5da15de602efb97d3e4af0b70c4e6,Brake!,text#28e5da15de602efb97d3e4af0b70c4e6,
text#fd9685467745bb70ad9d7058cb7b62cd,Flow Chart,text#fd9685467745bb70ad9d7058cb7b62cd,
text#468ee3508deac6cc1ef8939d43ff0f9b,Page Switch,text#468ee3508deac6cc1ef8939d43ff0f9b,
text#e489e4d8c7d6857b685e773e05691ad4,Voice,text#e489e4d8c7d6857b685e773e05691ad4,
