source,target,id,developer_comments
fly#00,Again... It's this scene again!,fly#00,
fly#01,Damn it... What am I doing!! If only I had moved faster...!,fly#01,
fly#02,"Almost the exact same lines as before... I really am looping, aren't I. You've got to be kidding me... Is this... what they call deja vu...?",fly#02,
fly#03,"Besides, if the exact same things keep repeating like this... doesn't that mean that Shadow... really exists?",fly#03,
fly#04,Why!? The Shadow copied someone both times before... But this time it didn't. Did I do something different this time!?,fly#04,
fly#05,"Not many people have seen 'em lately... But before the war, it happened a lot. If you catch the Shadow Sickness, you start seeing Shadows... Those who see Shadows die. They're killed by the Shadow.",fly#05,
fly#06,"Mom said it too, right? Even if I die, I can start over! If I return to the 22nd with my memories intact, I'll definitely become an obstacle for us eventually. So don't kill me. Not until everything is over.",fly#06,
fly#07,The thing standing on top of the Shadow is just a lump of meat in the shape of a person. Look closely at their feet. Their true form is the flat 'Shadow' cast on the ground.,fly#07,
fly#08,"This is my sister's hypothesis from here on out... The Shadow scans using light, and absorbs that information... As for why it does that... It's because that act is equivalent to their 'meal'...",fly#08,
fly#09,"The Shadows have been steadily increasing over these past three days. No matter how many we defeat, there's no end to them... I sense some kind of unified will. It's as if they're all moving for a single purpose...",fly#09,
fly#10,"It's full of unfamiliar medicines... A lot of them seem old. The characters are in an old font, and the printing is faded...",fly#10,
fly#11,Ergot extract... This one is benzoic acid... It's used for preservation and sterilization. There's even isomine.,fly#11,
fly#12,Oh! This is... Corrosive sublimate! Mercuric chloride... It's a deadly poison and a drug that isn't used anymore! This is bad... We just leave this kind of stuff lying around...?,fly#12,
fly#13,Sou... even Toki-chan...! ...No. I can't... I can't let this become reality...,fly#13,
fly#14,"I'll retract what I said about you being a degraded stray. I don't think something like that could defeat Negoro. You're the opposite of degraded... You've actually 'grown'...! It'd be a waste to just erase you now... I'll fix your head and put you to use. We'll be needing the manpower tomorrow, after all...",fly#14,
fly#15,"Please shoot me!! Kill me, kill me right now!!!! I've died, and started over... so many times!! Shoot me!!!!! Right in the head!!",fly#15,
fly#16,"You have the power to turn the world you observe into 'fact'. Right now, you are the one depicting this world... It is truly a terrifying, godlike power.",fly#16,
fly#17,"So in short, all I have to do is not kill you until the very end.",fly#17,
fly#18,...R... Run...!! Please... This place is already... different... from the 22nd we've known up until now—,fly#18,
fly#19,"That handprint on your right arm... That's a brand... No matter what world you go to from now on, I'll be able to find you immediately.",fly#19,
fly#20,I can loop too...,fly#20,
fly#21,I knew you all would be coming to Koba Mart today when I searched through Ryunosuke's memories last time!,fly#21,
fly#22,The 'Shadow Stitching'... isn't working!? The nails Nezu-san shot pierced its shadow three times...! And yet...!,fly#22,
fly#23,Haine probably isn't looping with her own power. She's just using Shinpei's power to tag along. So her next 'starting point' should be the exact same as ours.,fly#23,
fly#24,"Oh my, Kaori Koyuba-san. I've been seen by the person I'd least like to be seen by.",fly#24,
fly#25,"...Well hello, everyone. You're all here.",fly#25,
fly#26,How does a Demon Lord defeat a hero who revives from a save point no matter how many times they're killed...? Don't you agree that the only way is to turn off the game console's power?,fly#26,
fly#27,The 'Shadow Stitching'... isn't working!? The nails Nezu-san shot pierced its shadow three times...! And yet...!,fly#27,
fly#28,A lighter and bug spray... to make a flamethrower!!,fly#28,
fly#29,Just as I thought!! There ain't a creature alive that isn't afraid of fire!,fly#29,
fly#30,"Until tomorrow ends, please just stay right here, doing nothing but breathing in and out. While wallowing in despair, of course.",fly#30,
fly#31,N-No way... Did this person... just defeat it...!? ...A Shadow!!!!,fly#31,
fly#32,"What I can do right now is... open the room's curtains and clear a line of sight for Nezu-san! And then, trust Nezu-san and lure Mio near the window...!!",fly#32,
fly#33,Haine found out Nezu-san was hiding...!! They're going to kill Nezu-san and take his rifle...!,fly#33,
fly#34,The Event Horizon...!! Right at the absolute limit immediately after looping! This is bad!!,fly#34,
fly#35,"Thanks to you, it was an easy win.",fly#35,
fly#36,"You know the outcome of what happened on Torashima because you looped... You learned it from Tokiko after she escaped, didn't you?",fly#36,
