route,chapter,file,id,type,speaker,speaker_ja,japanese,english,proposed_fix,notes
HDR,1. Interference with the Past,ST_HDR_001,XCHAPTITLE_0022,chapter title,,,1.過去への干渉,1. Interference with the Past,,
HDR,1. Interference with the Past,ST_HDR_001,XCOMMENTVIEW_0036,caption,,,7月7日,July 7,,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0000,dialogue,Ryunosuke Minakata,南方竜之介,"お姉ちゃんがフラッとどっか行くんは、
いつものことやけど……","My sister wandering off somewhere on a whim is nothing new, but...",,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0001,dialogue,Ryunosuke Minakata,南方竜之介,"なんで今日に限って、
そのいつも通りをするかな。",Why did she have to do that today of all days?,,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0002,dialogue,Ryunosuke Minakata,南方竜之介,"今日は僕らの誕生日やのに……。
もう！　絶対忘れてるわ！",It's our birthday today... Jeez! I bet she completely forgot!,,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0003,dialogue,Ryunosuke Minakata,南方竜之介,お姉ちゃーん！,Sis!,,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0004,dialogue,Ryunosuke Minakata,南方竜之介,"ゴクッ、ゴクッ……。
お姉ちゃん飲みもん持ってんのかな？
どっかに倒れてたらどないしょ。","*Gulp, gulp...* I wonder if Sis brought anything to drink? What if she collapsed somewhere?",,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0005,dialogue,Ryunosuke Minakata,南方竜之介,"夢中になったら息すんの
忘れるような人やからな……。",She's the type of person who forgets to breathe when she's focused on something...,,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0006,dialogue,Ushio,ウシオ,慎平、この先にハイネの気配がする。,"Shinpei, I sense Haine's presence ahead.",,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0007,dialogue,Shinpei Ajiro,網代慎平,ハイネの……。,Haine's…,,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0008,dialogue,Ushio,ウシオ,"このままやと竜之介さんがハイネと
会うてまうッ！","At this rate, Ryunosuke is going to run into Haine!",,
HDR,1. Interference with the Past,ST_HDR_001,XMESS_0009,dialogue,Shinpei Ajiro,網代慎平,"まずい……竜之介さん！！
そっちは危険だ！",This is bad... Ryunosuke!! It's dangerous that way!,,
