source,target,id,developer_comments
XCHAPTITLE_0022,1. Interference with the Past,XCHAPTITLE_0022,
XCOMMENTVIEW_0036,July 7,XCOMMENTVIEW_0036,
XMESS_0000,"My older sister often just goes somewhere on a whim,
It's usual for her…",XMESS_0000,南方竜之介
XMESS_0001,"Why today of all days,
Does she do that?",XMESS_0001,南方竜之介
XMESS_0002,"It's our birthday today…
I'm sure she's forgotten!",XMESS_0002,南方竜之介
XMESS_0003,Sister!,XMESS_0003,南方竜之介
XMESS_0004,"Gulp, gulp…
Does my sister have something to drink?
If she's collapsed somewhere, what'll we do?",XMESS_0004,南方竜之介
XMESS_0005,"When she gets absorbed,
She forgets to breathe…",XMESS_0005,南方竜之介
XMESS_0006,"Shinpei, I sense Heine's presence ahead.",XMESS_0006,ウシオ
XMESS_0007,Heine's…,XMESS_0007,網代慎平
XMESS_0008,"If we keep going, Ryunosuke will meet Heine!",XMESS_0008,ウシオ
XMESS_0009,"Bad! Ryunosuke!
That's dangerous!",XMESS_0009,網代慎平
XMESS_0010,"Ryunosuke, come back!",XMESS_0010,網代慎平
XMESS_0011,"What's my sister's friend like?
By the way, why are we meeting here?",XMESS_0011,南方竜之介
XMESS_0012,"(Damn, she can't hear me!?)",XMESS_0012,網代慎平
XMESS_0013,Maybe she's a guy…,XMESS_0013,南方竜之介
XMESS_0014,"No, no, it's not like my sister to do that.
Yeah, it's not.",XMESS_0014,南方竜之介
XMESS_0015,"No good!
He's heading toward Heine!",XMESS_0015,ウシオ
XMESS_0016,"Damn, we'll collide!",XMESS_0016,網代慎平
XMESS_0017,"Go back, Ryunosuke!",XMESS_0017,網代慎平
XMESS_0018,"Hmm, where's my sister?",XMESS_0018,南方竜之介
XMESS_0019,"Don't go, Ryunosuke!",XMESS_0019,網代慎平
XMESS_0020,Maybe that way…,XMESS_0020,南方竜之介
XMESS_0021,Ryunosuke!!!,XMESS_0021,網代慎平
XMESS_0022,Shinpei…,XMESS_0022,ウシオ
XMESS_0023,Ryunosuke! That's dangerous! Don't go!,XMESS_0023,網代慎平
XMESS_0024,I see…,XMESS_0024,南方竜之介
XMESS_0025,Don't go! You'll be killed!!,XMESS_0025,網代慎平
XMESS_0026,Huh? What was that…,XMESS_0026,南方竜之介
XMESS_0027,"Hahah… Ushio, did something happen?",XMESS_0027,網代慎平
XMESS_0028,I don't know…,XMESS_0028,ウシオ
XMESS_0029,"Was it my imagination…?
I thought I heard someone saying I'd be killed…",XMESS_0029,南方竜之介
XMESS_0030,…!,XMESS_0030,網代慎平
XMESS_0031,"Shinpei!
Maybe you actually reached him!",XMESS_0031,ウシオ
XMESS_0032,(Interfered with the past?),XMESS_0032,網代慎平
XMESS_0033,(Why?),XMESS_0033,網代慎平
XMESS_0034,"(No time to think about that now!
I have to keep Ryunosuke away from Heine!)",XMESS_0034,網代慎平
XMESS_0035,"Ryunosuke, that way is dangerous!",XMESS_0035,網代慎平
XMESS_0036,Please go back!! Get out of here quickly!!,XMESS_0036,網代慎平
XMESS_0037,…,XMESS_0037,南方竜之介
XMESS_0038,"It was my imagination…
After hearing cicadas so much, my ears must be messed up.",XMESS_0038,南方竜之介
XMESS_0039,"No!
It wasn't my imagination!",XMESS_0039,ウシオ
XMESS_0040,Ryunosuke!!,XMESS_0040,網代慎平
XMESS_0041,No good… He still can't hear me…,XMESS_0041,ウシオ
XMESS_0042,"But just now, it actually worked!",XMESS_0042,網代慎平
XMESS_0043,"Hah, Uu…",XMESS_0043,ハイネ
XMESS_0044,Huh? Who else's voice?,XMESS_0044,南方竜之介
XMESS_0045,"Red… kimono?
Who is it…?",XMESS_0045,南方竜之介
XMESS_0046,Heine…,XMESS_0046,網代慎平
XMESS_0047,"Hah, Hah…",XMESS_0047,ハイネ
XMESS_0048,"Could it be…
My sister's ""friend""?",XMESS_0048,南方竜之介
XMESS_0049,Was that voice from this person?,XMESS_0049,南方竜之介
XMESS_0050,…Hey.,XMESS_0050,南方竜之介
XMESS_0051,"Ryunosuke, it's bad!!",XMESS_0051,網代慎平
XMESS_0052,Hah… Hah…,XMESS_0052,ハイネ
XMESS_0053,"Are you okay?
Um… are you feeling unwell?",XMESS_0053,南方竜之介
