source,target,id,developer_comments
XCHAPTITLE_0002,7. Between the Times,XCHAPTITLE_0002,
XMESS_0000,"Yeah, at least I think
that's the best option…",XMESS_0000,網代慎平
XMESS_0001,"(The teacher said to leave the decision to me…
)",XMESS_0001,網代慎平
XMESS_0002,"(Maybe deep down,
they want to settle things at that place…
)",XMESS_0002,網代慎平
XMESS_0003,"(If that's the case, what I should do now
is push the teacher forward…)",XMESS_0003,網代慎平
XMESS_0004,(And then the ending--),XMESS_0004,網代慎平
XMESS_0005,"I see.
If you say so, I'll do it without hesitation.",XMESS_0005,南方ひづる（過去）
XMESS_0006,But I still have questions.,XMESS_0006,南方ひづる（過去）
XMESS_0007,"What did you mean
by that ""tragedy enveloping the whole island""?
What exactly is it--",XMESS_0007,南方ひづる（過去）
XMESS_0008,…,XMESS_0008,網代慎平
XMESS_0009,"No, forget it.
Right now, I should just focus
on settling things at that place.",XMESS_0009,南方ひづる（過去）
XMESS_0010,"That's probably best.
But honestly, it's dangerous.",XMESS_0010,網代慎平
XMESS_0011,"It'll take a lot of resolve, I think.",XMESS_0011,網代慎平
XMESS_0012,"(The chances of it working…
are pretty low.)",XMESS_0012,網代慎平
XMESS_0013,I've already made up my mind.,XMESS_0013,南方ひづる（過去）
XMESS_0014,"You used Nezu's knife to stab the shadow
and defeated the monster, right?",XMESS_0014,網代慎平
XMESS_0015,"If we can inflict a fatal wound
on Heine's shadow, we should be able to
defeat Heine.",XMESS_0015,網代慎平
XMESS_0016,The shadow…,XMESS_0016,南方ひづる（過去）
XMESS_0017,"Hizuru.
The shadow too…",XMESS_0017,ハイネ
XMESS_0018,W-why… my shadow… let me… touch it…,XMESS_0018,ハイネ
XMESS_0019,…?,XMESS_0019,南方ひづる（過去）
XMESS_0020,"Yes, yes…",XMESS_0020,ハイネ
XMESS_0021,…Like this?,XMESS_0021,南方ひづる（過去）
XMESS_0022,Hn… fuh…,XMESS_0022,ハイネ
XMESS_0023,It's warm… Hizuru's hand…,XMESS_0023,ハイネ
XMESS_0024,Can you tell it's a shadow?,XMESS_0024,南方ひづる（過去）
XMESS_0025,Yeah.,XMESS_0025,ハイネ
XMESS_0026,"I see.
It's the same as that monster earlier…",XMESS_0026,南方ひづる（過去）
XMESS_0027,…,XMESS_0027,南方ひづる（過去）
XMESS_0028,"Shinpei, I think Heine's still
at that place from earlier.",XMESS_0028,ウシオ
XMESS_0029,"Then let's go…
to Heine's place.",XMESS_0029,網代慎平
XMESS_0030,Ah--,XMESS_0030,南方ひづる（過去）
XMESS_0031,What were you talking about with the straw man?,XMESS_0031,根津銀次郎（１４年前）
XMESS_0032,"Various things.
For example, that injury on your shoulder…
you should get it treated soon.",XMESS_0032,南方ひづる（過去）
XMESS_0033,"Huh?
It's not a big deal.",XMESS_0033,根津銀次郎（１４年前）
XMESS_0034,"It doesn't look like it.
That wound looks pretty deep.",XMESS_0034,南方ひづる（過去）
XMESS_0035,Don't worry about it.,XMESS_0035,根津銀次郎（１４年前）
XMESS_0036,"No, let's take a break here.
I can't help, but at least do some first aid.",XMESS_0036,南方ひづる（過去）
