source,target,id,developer_comments
XCHAPTITLE_0002,5. Like an Idol,XCHAPTITLE_0002,
XMESS_0000,Phew…,XMESS_0000,網代慎平
XMESS_0001,(I've calmed down a bit...),XMESS_0001,網代慎平
XMESS_0002,"Shin-chan, can I come in?",XMESS_0002,小舟澪
XMESS_0003,"Yeah, it's fine.",XMESS_0003,網代慎平
XMESS_0004,"Already ready?
You're quick.",XMESS_0004,網代慎平
XMESS_0005,"I'm in the swim club, after all. I'm used to changing clothes. Did you have enough towels?",XMESS_0005,小舟澪
XMESS_0006,"Yeah, there were some left in the closet.",XMESS_0006,網代慎平
XMESS_0007,Wouldn't towels that have been left for two years smell bad?,XMESS_0007,小舟澪
XMESS_0008,"Haha... well, just a little.",XMESS_0008,網代慎平
XMESS_0009,"You're fine, Shin-chan, I left a towel and some dried clothes in the changing room...",XMESS_0009,小舟澪
XMESS_0010,"Once Kaori-chan finishes her shower and gets ready, we should be able to leave right away.",XMESS_0010,小舟澪
XMESS_0011,"Yeah, that's right.",XMESS_0011,網代慎平
XMESS_0012,"By the way... I kind of forced her to come to our place, but I wonder if Kaori-chan found it annoying?",XMESS_0012,小舟澪
XMESS_0013,Please come to my place!,XMESS_0013,小舟澪
XMESS_0014,Huh?,XMESS_0014,小弓場かおり
XMESS_0015,I can't let you go to the inn completely soaked.,XMESS_0015,小舟澪
XMESS_0016,"U-uh, it's okay. I'll dry on the way.",XMESS_0016,小弓場かおり
XMESS_0017,"It's my fault for messing up on my bike in the first place! Please, just take a shower at our place.",XMESS_0017,小舟澪
XMESS_0018,But today's your sister's…,XMESS_0018,小弓場かおり
XMESS_0019,"Ah… you heard, huh?",XMESS_0019,小舟澪
XMESS_0020,"It's fine. If I let you go back alone from here, Onee-chan would definitely get mad at me.",XMESS_0020,小舟澪
XMESS_0021,Ah…,XMESS_0021,小弓場かおり
XMESS_0022,"Either way, Shin-chan and I have to go home first too, so how about you come with us, Koyuba-san?",XMESS_0022,小舟澪
XMESS_0023,Yeah… I'll take you up on that.,XMESS_0023,小弓場かおり
XMESS_0024,"Now that it's decided, let's hurry, Koyuba-san.",XMESS_0024,小舟澪
XMESS_0025,"Oh, right, Kofune-san. You can just call me Kaori.",XMESS_0025,小弓場かおり
XMESS_0026,Uh… Kaori-chan?,XMESS_0026,小舟澪
XMESS_0027,"Calling her ""chan"" all of a sudden is rude.",XMESS_0027,網代慎平
XMESS_0028,R-Right.,XMESS_0028,小舟澪
XMESS_0029,"No, it's okay.
It's easier to talk like that, and it feels nice.",XMESS_0029,小弓場かおり
XMESS_0030,Then call me Mio-chan too.,XMESS_0030,小舟澪
XMESS_0031,"Mio-chan… yeah, I got it.",XMESS_0031,小弓場かおり
XMESS_0032,"Well, it's fine.
She said she was grateful too.",XMESS_0032,網代慎平
XMESS_0033,I think she was just being polite when she refused so much at first.,XMESS_0033,網代慎平
XMESS_0034,"…Well, that's fine then.",XMESS_0034,小舟澪
XMESS_0035,"Even though you haven't seen her in a while, you sure seem to understand Kaori-chan pretty well.",XMESS_0035,小舟澪
XMESS_0036,Huh… what?,XMESS_0036,網代慎平
XMESS_0037,"Huh?
Nothing at all.",XMESS_0037,小舟澪
XMESS_0038,"(Still... I meant to save Mio, but ended up being saved instead. I feel bad for both Mio and Koyuba-san.)",XMESS_0038,網代慎平
XMESS_0039,(But maybe it's a good thing I got to spend some time with Koyuba-san like this.),XMESS_0039,網代慎平
XMESS_0040,"(Earlier I warned her not to walk around alone at night, but...)",XMESS_0040,網代慎平
XMESS_0041,"(Maybe I can get a little more information, like why she was walking alone in the first place.)",XMESS_0041,網代慎平
XMESS_0042,"Shin-chan, what are you thinking about? Could it be about Kaori-chan?",XMESS_0042,小舟澪
XMESS_0043,Huh? How did you know?,XMESS_0043,網代慎平
XMESS_0044,"Whoa, what a pervert.",XMESS_0044,小舟澪
XMESS_0045,What? Why?,XMESS_0045,網代慎平
XMESS_0046,"Because Kaori-chan is taking a shower right now, you know? What kind of things were you imagining?",XMESS_0046,小舟澪
XMESS_0047,I-I wasn't thinking about anything like that!,XMESS_0047,網代慎平
XMESS_0048,"Shin-chan, don't tell me... you two didn't come back from Tokyo together, did you?",XMESS_0048,小舟澪
XMESS_0049,What do you mean?,XMESS_0049,網代慎平
XMESS_0050,"Like, you didn't actually just reunite earlier, but you were already close back in Tokyo...",XMESS_0050,小舟澪
XMESS_0051,Why would you think that? Us being on the same boat was just a coincidence.,XMESS_0051,網代慎平
XMESS_0052,Then why did Kaori-chan know that Shin-chan couldn't swim?,XMESS_0052,小舟澪
XMESS_0053,Huh…?,XMESS_0053,網代慎平
XMESS_0054,"After Shin-chan fell into the sea, Kaori-chan said something.",XMESS_0054,小舟澪
XMESS_0055,I thought Ajiro-kun had learned how to swim.',XMESS_0055,小舟澪
XMESS_0056,"Now that you mention it, she did say that…",XMESS_0056,網代慎平
XMESS_0057,I don't think someone you were only with in elementary school would remember whether you could swim or not.,XMESS_0057,小舟澪
XMESS_0058,Well… that's true…,XMESS_0058,網代慎平
XMESS_0059,See! You two know each other!,XMESS_0059,小舟澪
XMESS_0060,It's a misunderstanding!,XMESS_0060,網代慎平
XMESS_0061,"But it's just so weird. Shin-chan, you were supposed to be reuniting after a long time, but you didn't seem nostalgic or anything at all.",XMESS_0061,小舟澪
XMESS_0062,"(Ugh... well, I've already experienced reuniting with her once before...)",XMESS_0062,網代慎平
XMESS_0063,Plus that face… I feel like I've seen it somewhere…,XMESS_0063,小舟澪
XMESS_0064,Huh?,XMESS_0064,網代慎平
XMESS_0065,"Mio-cha~n, thanks for the shower.",XMESS_0065,小弓場かおり
XMESS_0066,Huh? Mio-chan?,XMESS_0066,小弓場かおり
XMESS_0067,Over here!,XMESS_0067,小舟澪
XMESS_0068,"Ah, there you are. Ajiro-kun too.",XMESS_0068,小弓場かおり
XMESS_0069,Ah…,XMESS_0069,小舟澪
XMESS_0070,(Huh…),XMESS_0070,網代慎平
XMESS_0071,"(Koyuba-san... I thought so when we first met too, but)",XMESS_0071,網代慎平
XMESS_0072,(Is it because she just finished getting ready? She looks even more beautiful...),XMESS_0072,網代慎平
XMESS_0073,"Oh! Right!
Are your clothes okay?
I hope they dried properly.",XMESS_0073,小舟澪
XMESS_0074,"Yeah, they're fine.
Thanks for the towel and hairdryer.
I feel refreshed~",XMESS_0074,小弓場かおり
XMESS_0075,"That's good.
I'm relieved.",XMESS_0075,小舟澪
XMESS_0076,…,XMESS_0076,網代慎平
XMESS_0077,"Hey, Shin-chan...! Why is your face red!?",XMESS_0077,小舟澪
XMESS_0078,"Well, you're turning red too, Mio.",XMESS_0078,網代慎平
XMESS_0079,"B-Because... looking at her again, she's really cute, or rather...",XMESS_0079,小舟澪
XMESS_0080,Like an idol…,XMESS_0080,小舟澪
XMESS_0081,…An idol?,XMESS_0081,小舟澪
XMESS_0082,…,XMESS_0082,小舟澪
XMESS_0083,"Wh-What's wrong, Mio-chan? Is there something on my face?",XMESS_0083,小弓場かおり
XMESS_0084,Ah! Oh no!!!,XMESS_0084,小舟澪
XMESS_0085,Huh?!,XMESS_0085,小弓場かおり
XMESS_0086,"What's wrong, Mio? Don't just shout all of a sudden.",XMESS_0086,網代慎平
XMESS_0087,W-Wait right there!!,XMESS_0087,小舟澪
XMESS_0088,(What's with her…?),XMESS_0088,網代慎平
XMESS_0089,W-what's going on?,XMESS_0089,小弓場かおり
XMESS_0090,"I don't know.
She went to her room, I think.",XMESS_0090,網代慎平
XMESS_0091,"Well, she'll probably be back soon, so just relax.",XMESS_0091,網代慎平
XMESS_0092,"U-Um, could this be... Ajiro-kun's room?",XMESS_0092,小弓場かおり
XMESS_0093,Yeah.,XMESS_0093,網代慎平
XMESS_0094,U-uh! Uhh!,XMESS_0094,小弓場かおり
XMESS_0095,Wh-What's wrong? Your face suddenly got stiff.,XMESS_0095,網代慎平
XMESS_0096,It's nothing.,XMESS_0096,小弓場かおり
XMESS_0097,"It doesn't look like nothing... Your face is red, too.",XMESS_0097,網代慎平
XMESS_0098,Maybe you caught a cold?,XMESS_0098,網代慎平
XMESS_0099,"A-ah, no! That's not it!",XMESS_0099,小弓場かおり
XMESS_0100,"W-Well, when I realized I was in Ajiro-kun's room, I got kind of nervous.",XMESS_0100,小弓場かおり
XMESS_0101,Don't worry about it.,XMESS_0101,網代慎平
XMESS_0102,"I moved most of my personal belongings to Tokyo, so it's basically like an empty room now.",XMESS_0102,網代慎平
XMESS_0103,"No, I don't think... that's true.",XMESS_0103,小弓場かおり
XMESS_0104,Why?,XMESS_0104,網代慎平
XMESS_0105,"The room has been cleaned up nicely, hasn't it?",XMESS_0105,小弓場かおり
XMESS_0106,I'm sure someone has been taking good care of it because it's Ajiro-kun's place.,XMESS_0106,小弓場かおり
XMESS_0107,I see…,XMESS_0107,網代慎平
XMESS_0108,"Ah, sorry.
I was staring.",XMESS_0108,小弓場かおり
XMESS_0109,"(Ah... this feeling right now, it kind of reminds me of how she used to be.)",XMESS_0109,網代慎平
XMESS_0110,"(But even though I can remember her personality like this, I have almost no memories of playing together.)",XMESS_0110,網代慎平
XMESS_0111,"(Since she's never been here before, she and Ushio probably weren't close enough to visit each other's houses either...)",XMESS_0111,網代慎平
XMESS_0112,"Oh, right.
Thanks for helping me earlier.",XMESS_0112,網代慎平
XMESS_0113,"N-No, don't worry about it. My body just moved on its own.",XMESS_0113,小弓場かおり
XMESS_0114,"You were the same, weren't you, Ajiro-kun? Jumping in to save Mio-chan when she fell into the sea, even though you can't swim.",XMESS_0114,小弓場かおり
XMESS_0115,I can't swim…,XMESS_0115,網代慎平
XMESS_0116,Huh…?,XMESS_0116,小弓場かおり
XMESS_0117,"About that... You sure remembered that I couldn't swim, huh?",XMESS_0117,網代慎平
XMESS_0118,Ah… that's…,XMESS_0118,小弓場かおり
XMESS_0119,"Do you remember? A long time ago, when Ajiro-kun was reading a book about underwater ruins, we talked about whether there might be some on Hitogashima too...",XMESS_0119,小弓場かおり
XMESS_0120,"When I said, 'Why don't you try diving and looking for them?', Ajiro-kun said, 'I can't swim, so that's impossible.'",XMESS_0120,小弓場かおり
XMESS_0121,"I didn't know Ajiro-kun couldn't swim, and I felt like I said something really insensitive... I regretted it a lot.",XMESS_0121,小弓場かおり
MSTD_0362-0,"""I don't remember…""",MSTD_0362-0,
MSTD_0362-1,Now that you mention it...',MSTD_0362-1,
XMESS_0122,Did that really happen? I don't remember...,XMESS_0122,網代慎平
XMESS_0123,I see...,XMESS_0123,小弓場かおり
XMESS_0124,But I don't think it was an insensitive comment at all. The fact that I didn't remember means I probably didn't mind it back then either.,XMESS_0124,網代慎平
XMESS_0125,"Thank you.
I feel a bit relieved.",XMESS_0125,小弓場かおり
XMESS_0126,Now that you mention it...,XMESS_0126,網代慎平
XMESS_0127,…Did you remember?,XMESS_0127,小弓場かおり
XMESS_0128,"Yeah... right, that's it! And then I said, 'If I go, I'd probably need a submarine or something.'",XMESS_0128,網代慎平
XMESS_0129,Eh…?,XMESS_0129,小弓場かおり
XMESS_0130,"Wait, was that wrong?
I thought I said that.",XMESS_0130,網代慎平
XMESS_0131,W-Was that how it went...?,XMESS_0131,小弓場かおり
XMESS_0132,"Probably, at that time, I was so caught up in the fact that I said something insensitive that it was all I could think about...",XMESS_0132,小弓場かおり
XMESS_0133,"Ah, so that's why you don't remember.",XMESS_0133,網代慎平
XMESS_0134,Y-Yeah... probably.,XMESS_0134,小弓場かおり
XMESS_0135,"You really didn't need to worry about it so much. I didn't think it was an insensitive comment back then, and I certainly don't think so now.",XMESS_0135,網代慎平
XMESS_0136,I-I see... You're as kind as ever.,XMESS_0136,小弓場かおり
XMESS_0137,"(Oh, I see, that's what it was about.)",XMESS_0137,網代慎平
XMESS_0138,(And yet Mio went and had some weird misunderstanding...),XMESS_0138,網代慎平
XMESS_0139,"I finally found it!
This one, this one!",XMESS_0139,小舟澪
XMESS_0140,"A magazine?
What's so special about that?",XMESS_0140,網代慎平
XMESS_0141,"Ah... w-wait a minute, Mio-chan!",XMESS_0141,小弓場かおり
XMESS_0142,"This! Look, Kaori-chan!!",XMESS_0142,小舟澪
XMESS_0143,Eh…?,XMESS_0143,網代慎平
XMESS_0144,Ah…,XMESS_0144,小弓場かおり
XMESS_0145,Eeeeh!?,XMESS_0145,網代慎平
XMESS_0146,Wh-Why is Koyuba-san on the cover of a magazine!?,XMESS_0146,網代慎平
XMESS_0147,"This is you, right, Kaori-chan? It's not just a look-alike, right!?",XMESS_0147,小舟澪
XMESS_0148,Umm... well...,XMESS_0148,小弓場かおり
XMESS_0149,"Yes, it's definitely me.",XMESS_0149,小弓場かおり
XMESS_0150,"<color=#GF_TIPS_122>I knew it, it's the idol Kaori Koyuba-chan!</color> I kept thinking I'd 'seen her somewhere before'!",XMESS_0150,小舟澪
XMESS_0151,Y-You're a celebrity!?,XMESS_0151,網代慎平
XMESS_0152,"What's with you, Shin-chan. You didn't realize at all?",XMESS_0152,小舟澪
XMESS_0153,"You didn't realize right away either, did you?",XMESS_0153,網代慎平
XMESS_0154,"Well, I'm not really familiar with idols.",XMESS_0154,小舟澪
XMESS_0155,I'm the same.,XMESS_0155,網代慎平
XMESS_0156,Ah...! Maybe it would have been better if I pretended not to know!?,XMESS_0156,小舟澪
XMESS_0157,"No, I'm honestly happy that you noticed.",XMESS_0157,小弓場かおり
XMESS_0158,"It's just... if I talk about my job, there are a lot of things I'd have to explain, so I thought...",XMESS_0158,小弓場かおり
XMESS_0159,"Besides, I still have to keep it a secret that I'm currently on this island.",XMESS_0159,小弓場かおり
XMESS_0160,"(Come to think of it, Koyuba-san mentioned that the town hall prepared her accommodation.)",XMESS_0160,網代慎平
XMESS_0161,So you came back to the island because of your idol work?,XMESS_0161,網代慎平
XMESS_0162,"Yeah, something like that.",XMESS_0162,小弓場かおり
XMESS_0163,"You shouldn't ask things like that, Shin-chan. She has a duty of confidentiality, you know.",XMESS_0163,小舟澪
XMESS_0164,Where did you even learn that word?,XMESS_0164,網代慎平
XMESS_0165,"Hey, hey, Kaori-chan. Could you try doing something idol-like for us?",XMESS_0165,小舟澪
XMESS_0166,Eh!?! Something idol-like!?,XMESS_0166,小弓場かおり
XMESS_0167,"You really don't hold back, do you...",XMESS_0167,網代慎平
XMESS_0168,"Well, it's not every day you get the chance to talk to an idol.",XMESS_0168,小舟澪
XMESS_0169,U-Umm...,XMESS_0169,小弓場かおり
XMESS_0170,"Koyuba-san, you don't have to force yourself to go along with her unreasonable requests.",XMESS_0170,網代慎平
XMESS_0171,"No, it's okay. I'll do my best!",XMESS_0171,小弓場かおり
XMESS_0172,(So this is what they call professionalism...),XMESS_0172,網代慎平
XMESS_0173,"...Ahem. Alright, here I go.",XMESS_0173,小弓場かおり
XMESS_0174,"Ringing right into your heart. I'm Kaori Koyuba, also known as Kaorin.",XMESS_0174,小弓場かおり
XMESS_0175,"This time, I've come to Hitogashima's summer festival to perform a secret solo live show~~~~.",XMESS_0175,小弓場かおり
XMESS_0176,...Something like that.,XMESS_0176,小弓場かおり
