source,target,id,developer_comments
XCHAPTITLE_0002,13. Premium Seat,XCHAPTITLE_0002,
XMESS_0000,…,XMESS_0000,小弓場かおり
XMESS_0001,"(…Alright, I've caught up!)",XMESS_0001,網代慎平
XMESS_0002,Kaori-san!,XMESS_0002,網代慎平
XMESS_0003,kyaaah!?,XMESS_0003,小弓場かおり
XMESS_0004,"Calm down!
It's me, me!",XMESS_0004,網代慎平
XMESS_0005,Ah…,XMESS_0005,小弓場かおり
XMESS_0006,"Ah… Shinpei?
I'm sorry, I…",XMESS_0006,小弓場かおり
XMESS_0007,"Don't worry about it.
After all that happened, right?",XMESS_0007,網代慎平
XMESS_0008,"Just now…
Thank you for helping me.",XMESS_0008,小弓場かおり
XMESS_0009,"That was thanks to you, Kaori-san.
If that security gadget hadn't been there,
who knows what would've happened…",XMESS_0009,網代慎平
XMESS_0010,"But I just created an opening for you to escape,
so we still need to stay alert.",XMESS_0010,網代慎平
XMESS_0011,…,XMESS_0011,小弓場かおり
XMESS_0012,Why… Mio?,XMESS_0012,小弓場かおり
XMESS_0013,"Ah, right… It's not Mio.",XMESS_0013,網代慎平
XMESS_0014,Eh…?,XMESS_0014,小弓場かおり
XMESS_0015,"I'll explain later, but that wasn't Mio.
It was something that took her form.
It's not the real Mio.",XMESS_0015,網代慎平
XMESS_0016,"S-so that's the case?
But… if Shinpei says so,
I guess that's how it is.",XMESS_0016,小弓場かおり
XMESS_0017,"Thank goodness…
I've been so confused this whole time.",XMESS_0017,小弓場かおり
XMESS_0018,"Even though you were cheering for me,
why… I don't understand…",XMESS_0018,小弓場かおり
XMESS_0019,I see…,XMESS_0019,網代慎平
XMESS_0020,"But why!?
Why did this happen!?",XMESS_0020,小弓場かおり
XMESS_0021,"I just wanted…
to let everyone know about this island,
to make them like it…",XMESS_0021,小弓場かおり
XMESS_0022,"That's all I was doing…
But it ended up killing so many people…",XMESS_0022,小弓場かおり
XMESS_0023,It's because of me… because I did the live stream!,XMESS_0023,小弓場かおり
XMESS_0024,…,XMESS_0024,網代慎平
XMESS_0025,I… I don't know how to make up for it…,XMESS_0025,小弓場かおり
XMESS_0026,No!!!,XMESS_0026,網代慎平
XMESS_0027,Eh…?,XMESS_0027,小弓場かおり
XMESS_0028,"Kaori-san did nothing wrong!
The ones to blame are those monsters
that messed everything up!",XMESS_0028,網代慎平
XMESS_0029,But…,XMESS_0029,小弓場かおり
XMESS_0030,"No one will blame you for trying
to do your best for this island!",XMESS_0030,網代慎平
XMESS_0031,"So don't say things like that…
Even us who were cheering for you
would feel sad.",XMESS_0031,網代慎平
XMESS_0032,U-uhhh…!,XMESS_0032,小弓場かおり
XMESS_0033,"Ah, thank you… Shinpei…",XMESS_0033,小弓場かおり
XMESS_0034,…,XMESS_0034,網代慎平
XMESS_0035,"For now, let's get as far away as possible
and meet up with Sou and Mio.",XMESS_0035,網代慎平
XMESS_0036,"Once we meet up with everyone, let's go to the harbor…
Let's try to escape to a safer place.",XMESS_0036,網代慎平
XMESS_0037,U-uhh… yeah.,XMESS_0037,小弓場かおり
XMESS_0038,(…But it's been a while since then…),XMESS_0038,網代慎平
XMESS_0039,(…I don't sense them chasing us…),XMESS_0039,網代慎平
XMESS_0040,"Kaori-san,
it's a bit unstable, but do your best.",XMESS_0040,網代慎平
XMESS_0041,…Yeah.,XMESS_0041,小弓場かおり
XMESS_0042,"If I become a burden…
don't hesitate to leave me behind.",XMESS_0042,小弓場かおり
XMESS_0043,"It's fine.
No matter what happens,
I won't leave you behind.",XMESS_0043,網代慎平
XMESS_0044,…,XMESS_0044,小弓場かおり
XMESS_0045,(…Kaori-san… It seems her spirit is down…),XMESS_0045,網代慎平
XMESS_0046,…!,XMESS_0046,網代慎平
XMESS_0047,"Ah, that's…!",XMESS_0047,網代慎平
XMESS_0048,"(Oh no!
That person is looking around there…!)",XMESS_0048,網代慎平
XMESS_0049,"Sou, are you okay?",XMESS_0049,網代慎平
XMESS_0050,"Yeah, that's right!
You saved Kaori-chan, right?",XMESS_0050,菱形窓（影ソウ）
XMESS_0051,"Kaori-san,
do you remember this person?",XMESS_0051,網代慎平
XMESS_0052,"U-uh, yeah.
That's Sou Hishigata from the clinic, right?
Shinpei's friend.",XMESS_0052,小弓場かおり
XMESS_0053,"Correct answer!
Of course it's Kaori-chan!",XMESS_0053,菱形窓（影ソウ）
XMESS_0054,"Sou, where are Mio and Tokiko?",XMESS_0054,網代慎平
XMESS_0055,"Ah, they went ahead.",XMESS_0055,菱形窓（影ソウ）
XMESS_0056,"Ahead…?
You let them go alone!?",XMESS_0056,網代慎平
