source,target,id,developer_comments
XCHAPTITLE_0002,8. To the Harbor,XCHAPTITLE_0002,
XMESS_0000,"Shinpei still seems to doubt me, huh?",XMESS_0000,小舟アラン（影アラン）
XMESS_0001,Hmm… That's unfortunate.,XMESS_0001,網代慎平
XMESS_0002,So…,XMESS_0002,小舟アラン（影アラン）
XMESS_0003,Shin-chan! Why is that!?,XMESS_0003,小舟澪（ミオ）
XMESS_0004,…,XMESS_0004,網代慎平
XMESS_0005,(Alain's story had some suspicious points),XMESS_0005,網代慎平
XMESS_0006,"(I understand Mio wanting to believe him, and I'd like to believe him too)",XMESS_0006,網代慎平
XMESS_0007,Shin-chan!,XMESS_0007,小舟澪（ミオ）
XMESS_0008,"(But if choosing this path leads to Mio being in danger, I'll gladly be the villain)",XMESS_0008,網代慎平
XMESS_0009,(Protecting Mio… That's Ushio's wish),XMESS_0009,網代慎平
XMESS_0010,"No matter what, escaping the island is our priority now.",XMESS_0010,小舟アラン（影アラン）
XMESS_0011,"I'll go ahead.
It's better for Shinpei to go that way.",XMESS_0011,小舟アラン（影アラン）
XMESS_0012,Why can't Shin-chan believe in Dad?,XMESS_0012,小舟澪（ミオ）
XMESS_0013,…,XMESS_0013,網代慎平
XMESS_0014,"Wait, Dad!
I'm coming with you!",XMESS_0014,小舟澪（ミオ）
XMESS_0015,"Hey, Mio!
Don't get separated!",XMESS_0015,網代慎平
XMESS_0016,"Repeating the announcement.
A mysterious disaster has occurred
around the Hitogashima Shrine.",XMESS_0016,島内放送
XMESS_0017,"Residents wishing to evacuate to the mainland
should board the temporary ferry that has arrived.",XMESS_0017,島内放送
XMESS_0018,"Hah… Hah… 
Looks like we made it.",XMESS_0018,小舟アラン（影アラン）
XMESS_0019,"What is this?
Where did all these people come from?",XMESS_0019,小舟澪（ミオ）
XMESS_0020,There was no one here when we arrived…,XMESS_0020,網代慎平
XMESS_0021,"Everyone was hiding in silence
all over the island.",XMESS_0021,小舟アラン（影アラン）
XMESS_0022,"It seems there'll be more temporary ferries.
It looks like everyone can evacuate.",XMESS_0022,小舟澪（ミオ）
XMESS_0023,…,XMESS_0023,網代慎平
XMESS_0024,Mio! Shinpei-san!,XMESS_0024,菱形朱鷺子（影トキコ）
XMESS_0025,Tokiko!?,XMESS_0025,小舟澪（ミオ）
XMESS_0026,"Sou was safe too, right?",XMESS_0026,網代慎平
XMESS_0027,I'm glad you're safe too!,XMESS_0027,菱形窓（影ソウ）
XMESS_0028,"I was worried!
I tried calling but couldn't get through!",XMESS_0028,菱形窓（影ソウ）
XMESS_0029,"Huh…?
Wait, the phone!?",XMESS_0029,網代慎平
XMESS_0030,"That's my line!
You didn't answer the phone either,
and you didn't reply to my messages either!",XMESS_0030,網代慎平
XMESS_0031,"What!?
That's not possible!
We were…",XMESS_0031,菱形窓（影ソウ）
XMESS_0032,"Shut up, older brother.
I'll explain.",XMESS_0032,菱形朱鷺子（影トキコ）
XMESS_0033,O-oh.,XMESS_0033,菱形窓（影ソウ）
XMESS_0034,"Shinpei-san, the phone wasn't working
probably because of radio wave interference.",XMESS_0034,菱形朱鷺子（影トキコ）
XMESS_0035,Radio wave interference…?,XMESS_0035,網代慎平
XMESS_0036,"It seems the whole island is having
radio wave issues.
I heard from others.",XMESS_0036,菱形朱鷺子（影トキコ）
XMESS_0037,"It might be related to the commotion at the shrine…
But that's just my personal guess.",XMESS_0037,菱形朱鷺子（影トキコ）
XMESS_0038,I see…,XMESS_0038,網代慎平
XMESS_0039,But it's good we're all safe.,XMESS_0039,小舟アラン（影アラン）
XMESS_0040,"By the way, Alain-san was with you too?
Did Shinpei and the others go get him?",XMESS_0040,菱形窓（影ソウ）
XMESS_0041,"Ah, yeah…",XMESS_0041,網代慎平
XMESS_0042,"We thought the same thing!
Sou and I went back home
because we were worried about our moms.",XMESS_0042,菱形窓（影ソウ）
XMESS_0043,"Wait, then where are Sou's mom and Sou-sensei?",XMESS_0043,網代慎平
