source,target,id,developer_comments
XCHAPTITLE_0002,11. Final Ferry,XCHAPTITLE_0002,
XMESS_0000,"We repeat. Currently, a disaster of unknown cause has occurred, centered around Hitogashima Shrine.",XMESS_0000,島内放送
XMESS_0001,"Those who wish to evacuate to the mainland, please board the temporary ferry departing shortly.",XMESS_0001,島内放送
XMESS_0002,"Look, Shin-chan! The ferry is already at the harbor!",XMESS_0002,小舟澪（ミオ）
XMESS_0003,But there's no one around at all... Even though they've been making all these announcements.,XMESS_0003,網代慎平
XMESS_0004,...Where's Dad? I wonder if he got on the ferry first?,XMESS_0004,小舟澪（ミオ）
XMESS_0005,…,XMESS_0005,網代慎平
XMESS_0006,"Hey, Mio. Don't you think it's strange that we can't see a single other islander or tourist?",XMESS_0006,網代慎平
XMESS_0007,Maybe everyone has already boarded the ferry. I bet Tokiko and Sou-kun did too.,XMESS_0007,小舟澪（ミオ）
XMESS_0008,"Come on, let's get on the ferry!",XMESS_0008,小舟澪（ミオ）
XMESS_0009,"Mio, wait!",XMESS_0009,網代慎平
XMESS_0010,Huh? Why?,XMESS_0010,小舟澪（ミオ）
XMESS_0011,"Just in case, I'll go first. You follow behind me, Mio.",XMESS_0011,網代慎平
XMESS_0012,…,XMESS_0012,網代慎平
XMESS_0013,(This is strange... I don't sense anyone at all.),XMESS_0013,網代慎平
XMESS_0014,(What does this mean? Is there no one on board?),XMESS_0014,網代慎平
XMESS_0015,…!,XMESS_0015,網代慎平
XMESS_0016,(S-Someone's collapsed!?),XMESS_0016,網代慎平
XMESS_0017,"Um, are you okay--",XMESS_0017,網代慎平
XMESS_0018,--!?,XMESS_0018,網代慎平
XMESS_0019,…,XMESS_0019,網代慎平
XMESS_0020,...What... is this? Mi...o...?,XMESS_0020,網代慎平
XMESS_0021,Why is Mio here…?,XMESS_0021,網代慎平
XMESS_0022,(If that's the case... Then the Mio who's been with me all this time is...),XMESS_0022,網代慎平
XMESS_0023,"I'm glad you got to meet her, Shin-chan. The real me.",XMESS_0023,小舟澪（ミオ）
XMESS_0024,...A Shadow!!,XMESS_0024,網代慎平
XMESS_0025,Guh…!?,XMESS_0025,網代慎平
XMESS_0026,Dad's knife cuts really well. He kept it in perfect condition.,XMESS_0026,小舟澪（ミオ）
XMESS_0027,When… did you switch…?,XMESS_0027,網代慎平
XMESS_0028,"When do you think? Shin-chan, why don't you try looking at the big picture like you always do?",XMESS_0028,ミオ
XMESS_0029,Th... That's strange... That's impossible...,XMESS_0029,網代慎平
XMESS_0030,Because you're... wearing a yukata...!,XMESS_0030,網代慎平
XMESS_0031,"(The Shadow Mio I saw before was in her school uniform. That's why, so I could tell her apart from the Shadow...)",XMESS_0031,網代慎平
XMESS_0032,"(Sou asked Toki-chan to help her put on the yukata, and yet...)",XMESS_0032,網代慎平
XMESS_0033,"(For the Shadow to be wearing the same yukata, it would have had to see Mio wearing it somewhere...)",XMESS_0033,網代慎平
XMESS_0034,Ah...,XMESS_0034,網代慎平
XMESS_0035,"Sou, were you a fan of that person?",XMESS_0035,菱形朱鷺子
XMESS_0036,"Nah, not really a fan, but since we're here, I figured I might as well take a picture.",XMESS_0036,菱形窓
XMESS_0037,"Whoa, it's bright…!",XMESS_0037,小舟澪
XMESS_0038,No kidding. The camera flashes have been crazy for a while now. That person must be really popular.,XMESS_0038,菱形朱鷺子
XMESS_0039,(It was back then...!),XMESS_0039,網代慎平
XMESS_0040,"During the festival... you copied Mio in her yukata, didn't you!?",XMESS_0040,網代慎平
XMESS_0041,Exactly. I really have to thank Kaori-chan.,XMESS_0041,ミオ
XMESS_0042,You didn't just copy her... Y-You killed Mio!?,XMESS_0042,網代慎平
XMESS_0043,"Huh, me? What are you talking about, Shin-chan? We've been together this whole time.",XMESS_0043,ミオ
XMESS_0044,"I guess with that much blood loss, even you can't think straight anymore, huh, Shin-chan?",XMESS_0044,ミオ
XMESS_0045,"(That's right, this Shadow was with me. Then who killed Mio...)",XMESS_0045,網代慎平
XMESS_0046,...U-Ugh.,XMESS_0046,網代慎平
