source,target,id,developer_comments
XCHAPTITLE_0002,3. Bonds of Best Friends,XCHAPTITLE_0002,
XMESS_0000,Sorry to keep you waiting.,XMESS_0000,南方ひづる
XMESS_0001,"Ah, Hizuru-chan! Did you go to the bathroom or something?",XMESS_0001,南方波稲
XMESS_0002,"I just dropped my luggage off at the inn and came right out, though.",XMESS_0002,南方ひづる
XMESS_0003,"Really? I feel like I waited a really long time, though.",XMESS_0003,南方波稲
XMESS_0004,...I suppose perceived time differs depending on age.,XMESS_0004,南方ひづる
XMESS_0005,Huh? What?,XMESS_0005,南方波稲
XMESS_0006,"No, it's nothing. So, where on the island are you going to guide me?",XMESS_0006,南方ひづる
XMESS_0007,"Hmm, where should we go?",XMESS_0007,南方波稲
XMESS_0008,"Don't tell me... after insisting that much, you didn't have any plan at all...?",XMESS_0008,南方ひづる
XMESS_0009,"Then, wanna go see the Hero of Justice?",XMESS_0009,南方波稲
XMESS_0010,Huh?,XMESS_0010,南方ひづる
XMESS_0011,(Does she mean a fictional hero? No... something like that isn't likely to be stimulating.),XMESS_0011,南方ひづる
XMESS_0012,"(Well, anything is fine right now. As long as Hoine is satisfied and lets me go quickly.)",XMESS_0012,南方ひづる
XMESS_0013,"Ah, that's fine. Let me meet this so-called Hero of Justice.",XMESS_0013,南方ひづる
XMESS_0014,"Got it!
Come on, follow me!",XMESS_0014,南方波稲
XMESS_0015,She's pointlessly energetic...,XMESS_0015,南方ひづる
XMESS_0016,"(Ryunosuke said that this island has changed a bit too, but...)",XMESS_0016,南方ひづる
XMESS_0017,(It's nothing of the sort. It's almost exactly the same as when I lived here.),XMESS_0017,南方ひづる
XMESS_0018,(A hometown that always welcomes you with an unchanging appearance--),XMESS_0018,南方ひづる
XMESS_0019,"(Well, it's a bit of a cliché expression, but it's not a bad thing. Having a place to return to, that is.)",XMESS_0019,南方ひづる
XMESS_0020,Hmm hm hm~♪,XMESS_0020,南方波稲
XMESS_0021,"(...Even if this kind of existence, which is like unreasonableness taken form, also attacks you.)",XMESS_0021,南方ひづる
XMESS_0022,"Hey, hey, Hizuru-chan!",XMESS_0022,南方波稲
XMESS_0023,What?,XMESS_0023,南方ひづる
