source,target,id,developer_comments
XCHAPTITLE_0002,7. Scouring the Island,XCHAPTITLE_0002,
XMESS_0000,"We finally made it, Mt. Takanosu! The location on that memo, it's definitely here, no mistake!",XMESS_0000,小舟潮
XMESS_0001,"You were saying the exact same thing when we went to the other places, too.",XMESS_0001,網代慎平（収録）
XMESS_0002,"When we went to Alain's field, when we went to Torashima, and even when we went to <color=#GF_TIPS_044>Shinja Marsh</color>.",XMESS_0002,網代慎平（収録）
XMESS_0003,"We've walked all over the island, and I'm exhausted... Right, Kaori-chan?",XMESS_0003,小舟澪
XMESS_0004,Ahaha... We really did walk all over the place.,XMESS_0004,小弓場かおり
XMESS_0005,"I'm telling you, this time it's the real deal! Look, take a look at this memo!",XMESS_0005,小舟潮
XMESS_0006,I just remembered earlier. This drawing of a cat was of the black cat that used to hang around Mt. Takanosu.,XMESS_0006,小舟潮
XMESS_0007,"See, remember when we came here for an outdoor class a long time ago? Don't you remember?",XMESS_0007,小舟潮
XMESS_0008,"Oh…!
I remember!",XMESS_0008,小弓場かおり
XMESS_0009,"It was the one sunbathing by the rocks, right? I had just finished reading a book with a black cat in it, so I remember it well.",XMESS_0009,小弓場かおり
XMESS_0010,"Yeah, exactly! And when I got closer to try and pet that cat, I ended up slipping on the slope.",XMESS_0010,小舟潮
XMESS_0011,...I remember now. I was the one who went to help you then. And then we both got scolded.,XMESS_0011,網代慎平（収録）
XMESS_0012,"You're always causing trouble for Shin-chan, aren't you, Sis?",XMESS_0012,小舟澪
XMESS_0013,"That was because Shinpei yelled ""Ushiooo!"" so loudly that the teacher found out.",XMESS_0013,小舟潮
XMESS_0014,You...,XMESS_0014,網代慎平（収録）
XMESS_0015,"More importantly, this stone here on the memo! This isn't just any pebble, either! It's the stone Shinpei threw!",XMESS_0015,小舟潮
XMESS_0016,"Eh, I did?",XMESS_0016,網代慎平（収録）
XMESS_0017,"Yeah, over there where the trees are lined up. There was a squirrel there.",XMESS_0017,小舟潮
XMESS_0018,Shinpei noticed that a snake was approaching it. He threw a stone and chased the snake away.,XMESS_0018,小舟潮
XMESS_0019,Hehe... that's so like Ajiro-kun.,XMESS_0019,小弓場かおり
XMESS_0020,Hmmm... I don't really remember that story...,XMESS_0020,網代慎平（収録）
XMESS_0021,"So, the drawing of the tree on this memo refers to those standing trees over there?",XMESS_0021,小舟澪
XMESS_0022,Now that you mention it... I suppose it doesn't *not* look like that?,XMESS_0022,網代慎平（収録）
XMESS_0023,"Great deduction, right? This memo was a map of Mt. Takanosu!",XMESS_0023,小舟潮
XMESS_0024,"You're the one who wrote the memo in the first place, Sis. Why do you have to deduce it?",XMESS_0024,小舟澪
XMESS_0025,"Besides, if you had remembered earlier, we wouldn't have needed to go to Torashima and all those other places...",XMESS_0025,網代慎平（収録）
XMESS_0026,It's because of struggles like that that you can feel the joy of getting the right answer.,XMESS_0026,小舟潮
XMESS_0027,"You're saying something that sounds plausible, but weren't you just planning to go somewhere else if this place was a bust too?",XMESS_0027,網代慎平（収録）
XMESS_0028,"Well, I won't deny that.",XMESS_0028,小舟潮
XMESS_0029,"You really don't think things through, Sis.",XMESS_0029,小舟澪
XMESS_0030,Call it being adaptable!,XMESS_0030,小舟潮
XMESS_0031,*Sigh*... Try putting yourself in the shoes of the people getting dragged into it.,XMESS_0031,網代慎平（収録）
XMESS_0032,…Hehe!,XMESS_0032,小弓場かおり
XMESS_0033,"Haha, ahahahahaha!",XMESS_0033,小弓場かおり
XMESS_0034,K-Koyuba-san?,XMESS_0034,網代慎平（収録）
XMESS_0035,"Hehe, I'm sorry! It was just so funny, I couldn't help it! You three look like you're having so much fun.",XMESS_0035,小弓場かおり
XMESS_0036,"We're always like this. Right, Shinpei?",XMESS_0036,小舟潮
XMESS_0037,"Yeah, pretty much.",XMESS_0037,網代慎平（収録）
XMESS_0038,(Anyway... I'm glad Koyuba-san seems to be having fun.),XMESS_0038,網代慎平（収録）
XMESS_0039,"(She seemed a bit stiff at first, but now her expression seems much more relaxed.)",XMESS_0039,網代慎平（収録）
XMESS_0040,(Thinking about it that way... going back and forth all over the island might not have been a waste after all.),XMESS_0040,網代慎平（収録）
XMESS_0041,"Anyway, there's no doubt that the treasure is right in the middle of these three points!",XMESS_0041,小舟潮
XMESS_0042,"Now all we have to do is pinpoint the location of the time capsule and dig it up! Shinpei, get out the shovel you brought!",XMESS_0042,小舟潮
XMESS_0043,"Yeah, yeah.",XMESS_0043,網代慎平（収録）
XMESS_0044,...Ah!,XMESS_0044,小弓場かおり
XMESS_0045,Huh? Did something happen?,XMESS_0045,網代慎平（収録）
XMESS_0046,"N-No, it's nothing... Let's go look for the time capsule too.",XMESS_0046,小弓場かおり
XMESS_0047,Yeah.,XMESS_0047,網代慎平（収録）
XMESS_0048,"Look, we're almost there. The top of the hill is just ahead.",XMESS_0048,小舟潮
XMESS_0049,"Everyone, watch your step. This area is a slope, and it's slippery!",XMESS_0049,小舟潮
XMESS_0050,Hyaa!,XMESS_0050,小舟潮
XMESS_0051,"Hey, you're the one who needs to be careful.",XMESS_0051,網代慎平（収録）
XMESS_0052,"That was a bad example! Anyway, I'm going on ahead!",XMESS_0052,小舟潮
XMESS_0053,"Ah~, I'm starting to feel like we're really on an expedition or something.",XMESS_0053,小舟澪
XMESS_0054,"We used to play like this a lot in the past too, huh.",XMESS_0054,小舟澪
XMESS_0055,"We sure did. Sou would join us too, and we'd play make-believe explorers or tag around the gun battery ruins and places like that.",XMESS_0055,網代慎平（収録）
XMESS_0056,"Hmm... so you guys used to play like that, Ajiro-kun.",XMESS_0056,小弓場かおり
XMESS_0057,"Mio, come here for a second!",XMESS_0057,小舟潮
XMESS_0058,"What is it, Sis!?",XMESS_0058,小舟澪
XMESS_0059,"Ushio was always like this, huh. Saying we were going to make a secret base, and dragging us all over the place.",XMESS_0059,網代慎平（収録）
XMESS_0060,"Hehe, I feel like I can picture it.",XMESS_0060,小弓場かおり
XMESS_0061,"If I... had been as proactive back then as I am now, I could have been with Ajiro-kun and the others--",XMESS_0061,小弓場かおり
XMESS_0062,...Kya!?,XMESS_0062,小弓場かおり
XMESS_0063,Look out!!,XMESS_0063,網代慎平（収録）
XMESS_0064,Ah...!?,XMESS_0064,小弓場かおり
XMESS_0065,"Phew, that was close.
Are you okay?",XMESS_0065,網代慎平（収録）
XMESS_0066,Y-Yeah... thank you.,XMESS_0066,小弓場かおり
