source,target,id,developer_comments
XCHAPTITLE_0036,1. Weren't You Going to Hit Him?,XCHAPTITLE_0036,
XCOMMENTVIEW_0049,July 22,XCOMMENTVIEW_0049,
XMESS_0000,I'm sorry... For leaving for Tokyo all on my own...,XMESS_0000,網代慎平（収録）
XMESS_0001,I'm the one... who should be sorry. For not going to see you off...,XMESS_0001,小舟潮
XMESS_0002,…,XMESS_0002,小舟澪
XMESS_0003,"Jeez, Sis... Weren't you going to hit him?",XMESS_0003,小舟澪
XMESS_0004,"Well, whatever.",XMESS_0004,小舟澪
XMESS_0005,"It's better if Shin-chan and Sis... get along well, anyway...",XMESS_0005,小舟澪
XMESS_0006,…,XMESS_0006,小舟澪
XMESS_0007,(Is it really... better that way?),XMESS_0007,小舟澪
XMESS_0008,(I feel happy seeing those two right now. There's no lie or falsehood in that feeling.),XMESS_0008,小舟澪
XMESS_0009,(But... I wonder why? There's also a part of me that can't be genuinely happy about it...),XMESS_0009,小舟澪
XMESS_0010,...From Dad?,XMESS_0010,小舟澪
XMESS_0011,"Ah, Mio. How are things over there?",XMESS_0011,小舟アラン
XMESS_0012,"Shinpei just suddenly ran off, right. I was worried...",XMESS_0012,小舟アラン
XMESS_0013,"Ah, it's fine. I caught up to him.",XMESS_0013,小舟澪
XMESS_0014,He's talking with Sis right now.,XMESS_0014,小舟澪
XMESS_0015,"Oh! That's good, then.",XMESS_0015,小舟アラン
XMESS_0016,Sorry for leaving the restaurant. I'll be back soon.,XMESS_0016,小舟澪
XMESS_0017,"You don't have to hurry. You wanted to talk to Shinpei, right?",XMESS_0017,小舟アラン
XMESS_0018,"It's been a while, so you should take your time and talk to him too, Mio.",XMESS_0018,小舟アラン
XMESS_0019,I-It's fine. It's not like I slipped out of the restaurant to do that.,XMESS_0019,小舟澪
XMESS_0020,"Hahaha. Oh, that's right. Shinpei said his parents were out today, right?",XMESS_0020,小舟アラン
XMESS_0021,"Yeah, he said they went to Osaka for work.",XMESS_0021,小舟澪
XMESS_0022,"Since he's here, we should have Shinpei eat dinner with us at our place.",XMESS_0022,小舟アラン
XMESS_0023,That's a great idea!,XMESS_0023,小舟澪
XMESS_0024,"While you're at it, could you tell Shinpei he can just stay over?",XMESS_0024,小舟アラン
XMESS_0025,"Yeah, I'll make sure to tell him! Thanks, Dad!",XMESS_0025,小舟澪
XMESS_0026,"Staying over at our place, huh. It feels nostalgic, like the old days.",XMESS_0026,小舟澪
XMESS_0027,…,XMESS_0027,小舟澪
XMESS_0028,I wonder what Sis and Shin-chan are talking about? They seem way too close...,XMESS_0028,小舟澪
XMESS_0029,"Hehe, I'm gonna go interrupt them.",XMESS_0029,小舟澪
XMESS_0030,Jeez! Hiding and watching us is in bad taste.,XMESS_0030,小舟潮
XMESS_0031,And you were acting awfully friendly even though you said you were definitely going to hit him?,XMESS_0031,小舟澪
XMESS_0032,"I'm telling you! That wasn't it! Right, Shinpei!",XMESS_0032,小舟潮
XMESS_0033,"Eh...? Ah, yeah...",XMESS_0033,網代慎平（収録）
XMESS_0034,How should I put it... We both had a weird dream.,XMESS_0034,網代慎平（収録）
XMESS_0035,Eh...? A dream? Is it even possible for two people to have the exact same dream?,XMESS_0035,小舟澪
XMESS_0036,"Well, I don't think it's something that normally happens, but...",XMESS_0036,網代慎平（収録）
XMESS_0037,"Even if you tell me that, I have no idea what you're talking about.",XMESS_0037,小舟澪
XMESS_0038,We're the ones who don't know what to say to that... right?,XMESS_0038,小舟潮
XMESS_0039,Yeah... It's not like we're lying.,XMESS_0039,網代慎平（収録）
XMESS_0040,*Sigh*...,XMESS_0040,小舟澪
XMESS_0041,"You're acting kind of weird today, Mio.",XMESS_0041,小舟潮
XMESS_0042,"Yeah, I won't deny that. I think I'm acting a bit strange myself.",XMESS_0042,小舟澪
XMESS_0043,"Ah, but I don't have a headache or feel sick or anything, so don't worry.",XMESS_0043,小舟澪
XMESS_0044,"Is that so? Then that's fine, but.",XMESS_0044,小舟潮
XMESS_0045,"No, not feeling sick but acting strange is a problem in its own right, isn't it?",XMESS_0045,網代慎平（収録）
XMESS_0046,I told you not to worry about it! You're being weirdly nitpicky.,XMESS_0046,小舟澪
XMESS_0047,"More importantly, Shin-chan, Dad said you should just stay over at our place today.",XMESS_0047,小舟澪
XMESS_0048,Eh? Is that okay?,XMESS_0048,網代慎平（収録）
XMESS_0049,"If Sis is fine with it, then it's fine, isn't it?",XMESS_0049,小舟澪
XMESS_0050,Hah!? Wh-Why is it up to my judgment!,XMESS_0050,小舟潮
XMESS_0051,"Because before, you said something like you'd never let him step over our threshold again.",XMESS_0051,小舟澪
XMESS_0052,Ugh…,XMESS_0052,小舟潮
XMESS_0053,"Th-Then, I might forgive you if you make dinner for us today, Shinpei!",XMESS_0053,小舟潮
XMESS_0054,"Yeah, that's an easy request. Is the menu curry?",XMESS_0054,網代慎平（収録）
XMESS_0055,"Obviously! As expected of Shinpei, you get it!",XMESS_0055,小舟潮
XMESS_0056,"Well, I was planning to make curry for you even if you didn't ask.",XMESS_0056,網代慎平（収録）
XMESS_0057,Alright! I finally get to have Shinpei's curry for the first time in 2 years!,XMESS_0057,小舟潮
XMESS_0058,…,XMESS_0058,小舟澪
XMESS_0059,"Then, I'll let Dad know.",XMESS_0059,小舟澪
XMESS_0060,…,XMESS_0060,網代慎平（収録）
XMESS_0061,"Hm? What is it, Shin-chan?",XMESS_0061,小舟澪
XMESS_0062,"Ah, no, it's nothing.",XMESS_0062,網代慎平（収録）
XMESS_0063,Curryyyy! Curry curry! Curryyyy!,XMESS_0063,小舟潮
XMESS_0064,"I get it, I get it. I'll make it right away, so sit quietly.",XMESS_0064,網代慎平（収録）
XMESS_0065,"To make up for making you wait so long, I'll put my all into making it.",XMESS_0065,網代慎平（収録）
XMESS_0066,"I'm counting on it, Shinpei!",XMESS_0066,小舟潮
XMESS_0067,"Sis is super excited, huh...",XMESS_0067,小舟澪
XMESS_0068,"Of course I am! I've been made to wait for 2 whole years, you know?",XMESS_0068,小舟潮
XMESS_0069,"Hahaha... At this rate, it might be better to make extra today.",XMESS_0069,網代慎平（収録）
XMESS_0070,"I'm a growing girl, after all. Make it a large portion!",XMESS_0070,小舟潮
XMESS_0071,"Then I'll make Ushio's a large portion, no, an extra-large portion. What about you, Mio?",XMESS_0071,網代慎平（収録）
XMESS_0072,…,XMESS_0072,小舟澪
XMESS_0073,"…Mio?
What's wrong?",XMESS_0073,網代慎平（収録）
XMESS_0074,N-Nothing…,XMESS_0074,小舟澪
XMESS_0075,A normal portion is fine... I can't eat as much as Sis can.,XMESS_0075,小舟澪
XMESS_0076,"Mio, what's wrong? You really are acting weird, you know?",XMESS_0076,小舟潮
XMESS_0077,Eh? I-I'm fine.,XMESS_0077,小舟澪
XMESS_0078,I'm looking forward to Shin-chan's curry!,XMESS_0078,小舟澪
XMESS_0079,"Ah, that's right. Shin-chan, if you'd like--",XMESS_0079,小舟澪
XMESS_0080,"Shinpei, want me to help?",XMESS_0080,小舟潮
XMESS_0081,Ah…,XMESS_0081,小舟澪
XMESS_0082,"It's fine. I told you to sit down, didn't I.",XMESS_0082,網代慎平（収録）
XMESS_0083,"What's with that attitude!? I'm offering to help, but you don't look happy about it at all!",XMESS_0083,小舟潮
XMESS_0084,"I didn't say that, but can you really help?",XMESS_0084,網代慎平（収録）
XMESS_0085,Hah!?,XMESS_0085,小舟潮
XMESS_0086,"Shinpei, are you picking a fight with me? Want me to show you my brilliant knife skills!?",XMESS_0086,小舟潮
XMESS_0087,"Wait, I get it! I'll teach you properly, so you don't need to hold a knife!",XMESS_0087,網代慎平（収録）
XMESS_0088,"Hmph, as long as you understand.",XMESS_0088,小舟潮
XMESS_0089,"So?
What should I do?",XMESS_0089,小舟潮
XMESS_0090,"Let's see... for now, just peel the potatoes or something.",XMESS_0090,網代慎平（収録）
XMESS_0091,"Yeah, leave it to me!",XMESS_0091,小舟潮
XMESS_0092,…,XMESS_0092,小舟澪
XMESS_0093,"Shinpei, how am I supposed to remove this sprout-looking thing?",XMESS_0093,小舟潮
XMESS_0094,"There's a part sticking out on the side of the peeler, right? You just use that.",XMESS_0094,網代慎平（収録）
XMESS_0095,This? I'll give it a try!,XMESS_0095,小舟潮
XMESS_0096,Hnnngh...!,XMESS_0096,小舟潮
XMESS_0097,"Eh, isn't this super hard? I can't do it well at all...!",XMESS_0097,小舟潮
XMESS_0098,"H-Hey, be careful. It's dangerous if you slip.",XMESS_0098,網代慎平（収録）
XMESS_0099,I know. Nnnnnngh...!!,XMESS_0099,小舟潮
XMESS_0100,"Ah, I can't watch this anymore! Hand it over, I'll do it!",XMESS_0100,網代慎平（収録）
XMESS_0101,"It's fine! Shinpei, you just hurry up and do your own thing!",XMESS_0101,小舟潮
XMESS_0102,"Hey! I'm saying this for your own good, you know!?",XMESS_0102,網代慎平（収録）
XMESS_0103,It's none of your business!,XMESS_0103,小舟潮
XMESS_0104,...Hehe.,XMESS_0104,小舟澪
XMESS_0105,"(Ah~a, I wanted to help too, but I ended up getting left out of the loop...)",XMESS_0105,小舟澪
XMESS_0106,"(Well, watching those two is fun. And if I get to eat delicious curry, then I guess it's fine, but...)",XMESS_0106,小舟澪
XMESS_0107,Phew~...,XMESS_0107,小舟澪
XMESS_0108,"Hey, Mio?",XMESS_0108,網代慎平（収録）
XMESS_0109,Wh-What is it?,XMESS_0109,小舟澪
XMESS_0110,"Aren't you tired or something? You can go rest in your room, you know.",XMESS_0110,網代慎平（収録）
XMESS_0111,I-I'm fine! It's really nothing!,XMESS_0111,小舟澪
XMESS_0112,"You were stressed out because Shinpei wouldn't come back, right?",XMESS_0112,小舟潮
XMESS_0113,You should just hit him once! I'll allow it!,XMESS_0113,小舟潮
XMESS_0114,Eeh~~~...,XMESS_0114,網代慎平（収録）
XMESS_0115,"...You say that, but you didn't hit him yourself, Sis.",XMESS_0115,小舟澪
XMESS_0116,Th-That's not it! I'm going to beat him up after we finish eating the curry!,XMESS_0116,小舟潮
XMESS_0117,Why! You apologized this morning!,XMESS_0117,網代慎平（収録）
XMESS_0118,"I'll apologize again later, so that one doesn't count for now!",XMESS_0118,小舟潮
XMESS_0119,...Good grief. You really haven't changed at all.,XMESS_0119,網代慎平（収録）
XMESS_0120,(They really do... get along well.),XMESS_0120,小舟澪
XMESS_0121,"...Ah. Sorry, phone call.",XMESS_0121,小舟澪
XMESS_0122,A-Ah.,XMESS_0122,網代慎平（収録）
XMESS_0123,Hello?,XMESS_0123,小舟澪
XMESS_0124,"Ah, Mio? Sorry for calling so late.",XMESS_0124,菱形朱鷺子
XMESS_0125,"Mio, who's calling?",XMESS_0125,小舟潮
XMESS_0126,I told you to be quiet while she's on the phone.,XMESS_0126,網代慎平（収録）
XMESS_0127,Tokiko? What's wrong?,XMESS_0127,小舟澪
XMESS_0128,"Ah, Tokiko-chan!",XMESS_0128,小舟潮
XMESS_0129,I said be quiet!,XMESS_0129,網代慎平（収録）
XMESS_0130,"Sorry, but can you come out for a bit right now? There's something I want to talk about.",XMESS_0130,菱形朱鷺子
XMESS_0131,Something you want to talk about...? Ah... hold on a sec.,XMESS_0131,小舟澪
XMESS_0132,"Shin-chan, Sis. Tokiko called me out, so is it okay if I step out for a bit?",XMESS_0132,小舟澪
XMESS_0133,Toki-chan? What does she want?,XMESS_0133,小舟潮
XMESS_0134,"I don't know, but... Ah, make sure to save my portion of curry.",XMESS_0134,小舟澪
XMESS_0135,"Yeah, of course. Be careful not to be out too late.",XMESS_0135,網代慎平（収録）
XMESS_0136,"Yeah, thanks. I'll look forward to the curry when I get back. Play nice while I'm gone.",XMESS_0136,小舟澪
XMESS_0137,"W-We'll see about that!? Shinpei has a talent for making me mad, after all!",XMESS_0137,小舟潮
XMESS_0138,"Well, don't worry. We'll manage somehow here.",XMESS_0138,網代慎平（収録）
XMESS_0139,"Yeah, I'll be going then.",XMESS_0139,小舟澪
XMESS_0140,"(I'm not actually worried about them at all, though...)",XMESS_0140,小舟澪
