source,target,id,developer_comments
XCHAPTITLE_0002,3. Mysterious Feeling,XCHAPTITLE_0002,
XMESS_0000,…,XMESS_0000,網代慎平（収録）
XMESS_0001,"(When I met the tide on the beach,
and just now during dinner…)",XMESS_0001,網代慎平（収録）
XMESS_0002,(Am I the only one feeling weird?),XMESS_0002,網代慎平（収録）
XMESS_0003,"(No, it's not just me—)",XMESS_0003,網代慎平（収録）
XMESS_0004,Shin-chan!,XMESS_0004,小舟澪
XMESS_0005,Whoa!?,XMESS_0005,網代慎平（収録）
XMESS_0006,"S-sorry!
I didn't think you'd be so startled.",XMESS_0006,小舟澪
XMESS_0007,"Ah, it's fine.
I was just looking something up on my phone,
so I got startled more than usual.",XMESS_0007,網代慎平（収録）
XMESS_0008,What were you looking up?,XMESS_0008,小舟澪
XMESS_0009,"Well, all sorts of things.",XMESS_0009,網代慎平（収録）
XMESS_0010,"Anyway, did you need something?",XMESS_0010,網代慎平（収録）
XMESS_0011,"I guess you could call it…
I came to tell you the bath is free now.
Next, Shin-chan's turn.",XMESS_0011,小舟澪
XMESS_0012,"Ah, thanks.",XMESS_0012,網代慎平（収録）
XMESS_0013,"You must be tired from your long trip.
Take your time soaking.
Let me know if you need anything.",XMESS_0013,小舟澪
XMESS_0014,"Understood.
I'll do that.",XMESS_0014,網代慎平（収録）
XMESS_0015,…,XMESS_0015,網代慎平（収録）
XMESS_0016,(…Why is that?),XMESS_0016,網代慎平（収録）
XMESS_0017,"(This should be the first time I've come here in two years.
But for some reason…)",XMESS_0017,網代慎平（収録）
XMESS_0018,	It feels like I came here recently…,XMESS_0018,網代慎平（収録）
XMESS_0019,Whoa!?,XMESS_0019,小舟潮
XMESS_0020,"U-uh, Ushio!?",XMESS_0020,網代慎平（収録）
XMESS_0021,"What are you staring at!?
You almost ran into me!",XMESS_0021,小舟潮
XMESS_0022,"You were spacing out too, so you almost ran into me.",XMESS_0022,網代慎平（収録）
XMESS_0023,"Ugh!
I'm allowed to be deep in thought too!",XMESS_0023,小舟潮
XMESS_0024,"(Steam from the bath… and…
the scent of shampoo…)",XMESS_0024,網代慎平（収録）
XMESS_0025,…W-what are you looking at!?,XMESS_0025,小舟潮
XMESS_0026,"Ah… no…
You were in the bath.",XMESS_0026,網代慎平（収録）
XMESS_0027,"That's right!
Got something to say?",XMESS_0027,小舟潮
XMESS_0028,No… not really…,XMESS_0028,網代慎平（収録）
XMESS_0029,W-why are you fidgeting!?,XMESS_0029,小舟潮
XMESS_0030,I-I'm not!,XMESS_0030,網代慎平（収録）
XMESS_0031,…,XMESS_0031,小舟潮
XMESS_0032,…,XMESS_0032,網代慎平（収録）
XMESS_0033,…I'll say this first!,XMESS_0033,小舟潮
XMESS_0034,"That thing on the beach was different!
I didn't hug you or anything!",XMESS_0034,小舟潮
XMESS_0035,(Probably she hugged me!),XMESS_0035,網代慎平（収録）
XMESS_0036,"(…I wanted to say that,
but if I anger her again, it'll just be a loop)",XMESS_0036,網代慎平（収録）
XMESS_0037,"(I was just starting to feel better after the curry.
Let's change the subject)",XMESS_0037,網代慎平（収録）
XMESS_0038,"Ah, um…
Has Alain come back yet?",XMESS_0038,網代慎平（収録）
XMESS_0039,"Ah, he doesn't seem to have yet.",XMESS_0039,小舟潮
XMESS_0040,"Since it's such a hassle,
I wanted Alain to try the curry too.
I even saved some for him.",XMESS_0040,網代慎平（収録）
XMESS_0041,"Honestly, I was worried you'd eat it all,
but…",XMESS_0041,網代慎平（収録）
XMESS_0042,I don't have that kind of appetite!,XMESS_0042,小舟潮
XMESS_0043,"But Dad,
he's been busy with the festival preparations
and hasn't eaten yet…",XMESS_0043,小舟潮
XMESS_0044,…,XMESS_0044,小舟潮
XMESS_0045,…Ushio?,XMESS_0045,網代慎平（収録）
XMESS_0046,The festival preparations…,XMESS_0046,小舟潮
XMESS_0047,"Hey, maybe the
""festive atmosphere"" is affecting us?",XMESS_0047,網代慎平（収録）
XMESS_0048,What are you trying to say!?,XMESS_0048,小舟潮
XMESS_0049,"During dinner.
When you heard the word ""festival,""
didn't you get a chill?",XMESS_0049,網代慎平（収録）
XMESS_0050,Y-yeah! But why do you know!?,XMESS_0050,小舟潮
XMESS_0051,"I felt the same.
Look, I just said it myself,
and now I'm in this mess.",XMESS_0051,網代慎平（収録）
XMESS_0052,"Seriously…
My skin's crawling.",XMESS_0052,小舟潮
XMESS_0053,But… what's going on?,XMESS_0053,小舟潮
XMESS_0054,"Why does it feel so creepy?
It should be fun, right?",XMESS_0054,小舟潮
XMESS_0055,…,XMESS_0055,小舟潮
XMESS_0056,"That's right, Shinpei.
Honestly, what's weird is
the curry you made too.",XMESS_0056,小舟潮
XMESS_0057,Huh? My curry too?,XMESS_0057,網代慎平（収録）
XMESS_0058,"No, that's not it!
It wasn't bad or anything!
It was super delicious!",XMESS_0058,小舟潮
XMESS_0059,"It's just… I should've had it two years ago,
but it didn't feel like it at all…",XMESS_0059,小舟潮
XMESS_0060,Seriously?,XMESS_0060,網代慎平（収録）
XMESS_0061,"It felt like I just ate it,
so it's annoying.",XMESS_0061,小舟潮
XMESS_0062,"Actually… I feel the same.
Hitogashima Island and this house,
I feel like I came here recently.",XMESS_0062,網代慎平（収録）
XMESS_0063,"You came back two years ago, right?",XMESS_0063,小舟潮
XMESS_0064,"Hey, Ushio.
You said earlier at the beach---",XMESS_0064,網代慎平（収録）
XMESS_0065,"Are you still going to say that!?
That was---",XMESS_0065,小舟潮
XMESS_0066,Listen to the whole thing!,XMESS_0066,網代慎平（収録）
XMESS_0067,"You said you had a weird dream
when you were at the beach today.",XMESS_0067,網代慎平（収録）
XMESS_0068,"Maybe it's the same kind of dream…
I think I had one too.",XMESS_0068,網代慎平（収録）
XMESS_0069,"Eh…?
Both of us having the same dream…
That's impossible, right?",XMESS_0069,小舟潮
XMESS_0070,"Ah, yeah, it's not normal.",XMESS_0070,網代慎平（収録）
XMESS_0071,"But I was curious,
so I looked up if there's any phenomenon like this.",XMESS_0071,網代慎平（収録）
XMESS_0072,What did you find?,XMESS_0072,小舟潮
XMESS_0073,"No luck.
It's all fragmented information,
I couldn't make sense of it.",XMESS_0073,網代慎平（収録）
XMESS_0074,Today's been full of weird stuff.,XMESS_0074,小舟潮
XMESS_0075,"This is the place where Shinpei's
""thinking"" usually works, right?",XMESS_0075,小舟潮
XMESS_0076,"No, even if I ""think"" now,
it won't lead to any conclusion.",XMESS_0076,網代慎平（収録）
XMESS_0077,"Heh, I guess that's how it is.
I just wanted to try.",XMESS_0077,小舟潮
XMESS_0078,Ugh…,XMESS_0078,網代慎平（収録）
XMESS_0079,What are you two laughing about?,XMESS_0079,小舟澪
XMESS_0080,Mio…!?,XMESS_0080,小舟潮
XMESS_0081,…Huh.,XMESS_0081,小舟澪
XMESS_0082,W-what's going on!?,XMESS_0082,小舟潮
XMESS_0083,"You two made up already?
That was quick.",XMESS_0083,小舟澪
XMESS_0084,"Huh?
Ah, yeah…",XMESS_0084,網代慎平（収録）
