source,target,id,developer_comments
XCHAPTITLE_0002,8. The Nightmare Won't End,XCHAPTITLE_0002,
XMESS_0000,"(If it means getting through this situation, I'm not going to care about my own appearance anymore!
I don't have time to worry about my image!)",XMESS_0000,網代慎平
XMESS_0001,"(They look exactly like the real ones.
Their memories too…)",XMESS_0001,網代慎平
XMESS_0002,(Then there's no choice… this is the only way!),XMESS_0002,網代慎平
XMESS_0003,Totsumura-san…,XMESS_0003,網代慎平
XMESS_0004,"When I give the signal, run immediately…",XMESS_0004,網代慎平
XMESS_0005,But how am I supposed to run all of a sudden?,XMESS_0005,凸村哲
XMESS_0006,"Please!
Just trust me for once!",XMESS_0006,網代慎平
XMESS_0007,…You want me to trust you?,XMESS_0007,凸村哲
XMESS_0008,"Yes…
Just run without thinking!",XMESS_0008,網代慎平
XMESS_0009,What's with the muttering?,XMESS_0009,トツムラ
XMESS_0010,…,XMESS_0010,網代慎平
XMESS_0011,"Hey, Mio.
Do you know what they're up to?
Let's finish this quickly.",XMESS_0011,トツムラ
XMESS_0012,That's right.,XMESS_0012,ミオ
XMESS_0013,"(Crap…!
I'm not dying this easily!)",XMESS_0013,網代慎平
XMESS_0014,"Then, Shin.
Are you ready?",XMESS_0014,ミオ
XMESS_0015,(Alright… here we go!),XMESS_0015,網代慎平
XMESS_0016,"Ah, that's… Erika-san…!
Why are you here!?",XMESS_0016,網代慎平
XMESS_0017,Huh…?,XMESS_0017,ミオ
XMESS_0018,"Erika-chan!?
Where! Where is she!?",XMESS_0018,トツムラ
XMESS_0019,"Now, Totsumura-san!",XMESS_0019,網代慎平
XMESS_0020,"Shinpei, where are you!?
Where's Erika-chan!?",XMESS_0020,凸村哲
XMESS_0021,"Even you, Totsumura-san!?",XMESS_0021,網代慎平
XMESS_0022,I told you to run when I gave the signal!,XMESS_0022,網代慎平
XMESS_0023,"But Erika-chan is here, Shinpei…",XMESS_0023,凸村哲
XMESS_0024,"Crap, she's not here at all!
You tricked me!",XMESS_0024,トツムラ
XMESS_0025,"I messed up…
I should've explained more carefully to Totsumura-san.",XMESS_0025,網代慎平
XMESS_0026,"Heh heh!
Sorry, the plan failed.",XMESS_0026,ミオ
XMESS_0027,Cough…!,XMESS_0027,網代慎平
XMESS_0028,The plan failed…?,XMESS_0028,凸村哲
XMESS_0029,"Ah! I get it now!
That's what you meant!",XMESS_0029,凸村哲
XMESS_0030,"You idiot!
How dare you trick me!",XMESS_0030,トツムラ
XMESS_0031,"Cut me some slack!
I'll kill you!",XMESS_0031,トツムラ
XMESS_0032,"(I'm done for…
This is the worst outcome…)",XMESS_0032,網代慎平
XMESS_0033,"Uwahhh!!!
Get out of my way, you damn thing!",XMESS_0033,凸村哲
XMESS_0034,Totsumura-san…!,XMESS_0034,網代慎平
XMESS_0035,…,XMESS_0035,トツムラ
XMESS_0036,"There… I got rid of that fake face…
Even I can do that…",XMESS_0036,凸村哲
XMESS_0037,That's all you can do?,XMESS_0037,ミオ
XMESS_0038,"Huh! When did you get there, Mio!?",XMESS_0038,網代慎平
XMESS_0039,Guh…!,XMESS_0039,凸村哲
XMESS_0040,…Totsumura-san!!,XMESS_0040,網代慎平
XMESS_0041,"T-the knife… it's in my stomach…
No hesitation at all… that's not normal…",XMESS_0041,凸村哲
XMESS_0042,Ah… uh-huh…,XMESS_0042,網代慎平
XMESS_0043,Guh… I can't move…,XMESS_0043,凸村哲
XMESS_0044,"But… I did it, Shinpei.
I defeated my shadow… now it's just Mio.",XMESS_0044,凸村哲
XMESS_0045,"That's true, but how long are you going to sleep, Totsumura?
Wake up and play!",XMESS_0045,ミオ
XMESS_0046,Huh?,XMESS_0046,網代慎平
XMESS_0047,"I was hoping to keep the suspense a bit longer,
but you spoiled it too fast, Mio.",XMESS_0047,トツムラ
XMESS_0048,You two… aren't you immortal?,XMESS_0048,凸村哲
XMESS_0049,Who knows?,XMESS_0049,ミオ
XMESS_0050,Guh!,XMESS_0050,凸村哲
XMESS_0051,Stop…,XMESS_0051,網代慎平
XMESS_0052,Ah… uh-huh…,XMESS_0052,凸村哲
