source,target,id,developer_comments
XCHAPTITLE_0002,9. The Island's Hero,XCHAPTITLE_0002,
XMESS_0000,"(Anyway, I need to be careful... and somehow buy time...)",XMESS_0000,網代慎平
XMESS_0001,(I need to think of a way to break out of this situation.),XMESS_0001,網代慎平
XMESS_0002,Have you made up your mind?,XMESS_0002,ミオ
XMESS_0003,Ugh…!,XMESS_0003,凸村哲
XMESS_0004,"So you're determined to... finish us off here, huh.",XMESS_0004,網代慎平
XMESS_0005,"It's your own fault, Shin-chan. Because you stuck your nose where it didn't belong.",XMESS_0005,ミオ
XMESS_0006,Where it didn't belong...!,XMESS_0006,網代慎平
XMESS_0007,H-Hey... what the hell are you guys!? How many of you are there!?,XMESS_0007,凸村哲
XMESS_0008,Are you planning to kill everyone on the island and take their places!?,XMESS_0008,凸村哲
XMESS_0009,Shut up. I don't need to tell you that.,XMESS_0009,トツムラ
XMESS_0010,Like I'd let you...,XMESS_0010,凸村哲
XMESS_0011,"Like I'd let you do that, you punk!!!",XMESS_0011,凸村哲
XMESS_0012,Totsumura-san…!?,XMESS_0012,網代慎平
XMESS_0013,I'm a hero of justice! I won't let you guys do whatever you want!,XMESS_0013,凸村哲
XMESS_0014,I'm the local cop on this island! I'll protect the peace of Hitogashima!,XMESS_0014,凸村哲
XMESS_0015,No matter what kind of monster I'm up against! A hero of justice will never lose!!!,XMESS_0015,凸村哲
XMESS_0016,What…!?,XMESS_0016,トツムラ
XMESS_0017,"(It looked like the bullets hit, but...)",XMESS_0017,網代慎平
XMESS_0018,"(I ducked instinctively, so I don't really know what happened...!)",XMESS_0018,網代慎平
XMESS_0019,(What happened to them... What happened to the Shadows!?),XMESS_0019,網代慎平
XMESS_0020,*Pant*... *pant*... *pant*...,XMESS_0020,凸村哲
XMESS_0021,"I did it... I did it, Shinpei-kun!",XMESS_0021,凸村哲
XMESS_0022,I beat the fake...! The real me defeated my fake!,XMESS_0022,凸村哲
XMESS_0023,Totsumura-san…,XMESS_0023,網代慎平
XMESS_0024,(It looked like one shot hit him... but the other just grazed the Shadow's leg...),XMESS_0024,網代慎平
XMESS_0025,(I don't see Shadow Totsumura around... Could he have actually defeated him?),XMESS_0025,網代慎平
XMESS_0026,(Even though Shadow Mio was completely unfazed even after getting hit by a bullet...),XMESS_0026,網代慎平
XMESS_0027,"What are you doing, Tetsu-san. You really are an idiot.",XMESS_0027,ミオ
XMESS_0028,"P-Put your hands up! Mio-cha... no, fake Mio-chan, if you don't want to end up like this...!",XMESS_0028,凸村哲
XMESS_0029,Hurry up and surrender!,XMESS_0029,凸村哲
XMESS_0030,"*Sigh*, this is the worst. My plans are completely ruined.",XMESS_0030,ミオ
XMESS_0031,How long are you gonna act so smug! I-I'm serious!,XMESS_0031,凸村哲
XMESS_0032,"I'll shoot you for real! Y-You're okay with that, right!?",XMESS_0032,凸村哲
XMESS_0033,"Those rumors about us that you spread, Tetsu-san. To make that story go away, we needed you to go around explaining it yourself.",XMESS_0033,ミオ
XMESS_0034,"Hey, Tetsu-san. Instead of Shadow Tetsu-san, could you go around saying 'that was a lie'?",XMESS_0034,ミオ
XMESS_0035,Are you an idiot!? Like hell I'd say that!,XMESS_0035,凸村哲
XMESS_0036,"I see.
Well, it's fine.",XMESS_0036,ミオ
XMESS_0037,"If someone is inconvenient alive, we just have to kill them.",XMESS_0037,ミオ
XMESS_0038,"Tetsu-san, Shin-chan, the people who found out about us, and the mainland detectives coming first thing in the morning.",XMESS_0038,ミオ
XMESS_0039,We'll just kill every last one of them. Then there won't be any problems.,XMESS_0039,ミオ
XMESS_0040,Y-You're gonna massacre everyone!?,XMESS_0040,網代慎平
XMESS_0041,Is this... retaliation for me killing that fake!?,XMESS_0041,凸村哲
XMESS_0042,I guess so. You just created more unnecessary work for us.,XMESS_0042,ミオ
XMESS_0043,We were supposed to just have to take care of the detectives coming from the mainland.,XMESS_0043,ミオ
