source,target,id,developer_comments
XCHAPTITLE_0002,8. Tokiko's Memory Part 2,XCHAPTITLE_0002,
XCOMMENTVIEW_0013,Hishigata Tokiko,XCOMMENTVIEW_0013,
XMESS_0000,…,XMESS_0000,菱形朱鷺子
XMESS_0001,"(About the phone call now…
Haine is serious…)",XMESS_0001,菱形朱鷺子
XMESS_0002,(If I become a Shadow…),XMESS_0002,菱形朱鷺子
XMESS_0003,"(If I need to stop Shinpai and the others,
my unexpected attack when they're not watching
would definitely be effective)",XMESS_0003,菱形朱鷺子
XMESS_0004,"(But… even if it's something important,
I couldn't just accept it right away…)",XMESS_0004,菱形朱鷺子
XMESS_0005,Tokiko.,XMESS_0005,菱形千登勢（影チトセ）
XMESS_0006,…Mother.,XMESS_0006,菱形朱鷺子
XMESS_0007,What's wrong? Your face looks pale.,XMESS_0007,菱形千登勢（影チトセ）
XMESS_0008,Nothing.,XMESS_0008,菱形朱鷺子
XMESS_0009,"No, it's not nothing. 
Let's talk a little with Mother.",XMESS_0009,菱形千登勢（影チトセ）
XMESS_0010,Yeah…,XMESS_0010,菱形朱鷺子
XMESS_0011,…,XMESS_0011,菱形朱鷺子
XMESS_0012,Were you thinking about Mio?,XMESS_0012,菱形千登勢（影チトセ）
XMESS_0013,"I still can't believe it…
Mio and Shinpai, they were so close…",XMESS_0013,菱形千登勢（影チトセ）
XMESS_0014,…Yeah.,XMESS_0014,菱形朱鷺子
XMESS_0015,"You must have been really lonely.
I wanted to go to the festival with you.",XMESS_0015,菱形千登勢（影チトセ）
XMESS_0016,"U-uh… yeah.
Uhh… uuuhhh…!",XMESS_0016,菱形朱鷺子
XMESS_0017,"I-I'm not…!
It's not like I'm crying… uuuhhh…!",XMESS_0017,菱形朱鷺子
XMESS_0018,"Hehe, it's okay to cry.
You don't have to hold it in.",XMESS_0018,菱形千登勢（影チトセ）
XMESS_0019,"But… Dad and my brother…
Don't tell them, okay?",XMESS_0019,菱形朱鷺子
XMESS_0020,"Okay, okay, it's fine.",XMESS_0020,菱形千登勢（影チトセ）
XMESS_0021,"Uhh, uuuu…!
That's you, Mother…",XMESS_0021,菱形朱鷺子
XMESS_0022,"It was fun, I swear!
It was really fun…!",XMESS_0022,菱形朱鷺子
XMESS_0023,"I've always…
I wanted it to stay like that!",XMESS_0023,菱形朱鷺子
XMESS_0024,"Why!?
Why did this have to happen…!",XMESS_0024,菱形朱鷺子
XMESS_0025,Yeah…,XMESS_0025,菱形千登勢（影チトセ）
XMESS_0026,"I loved them…?
Mio too… Shinpai too…
Ku, uhh.",XMESS_0026,菱形朱鷺子
XMESS_0027,"Yeah, yeah.",XMESS_0027,菱形千登勢（影チトセ）
XMESS_0028,"Everyone, I love them…
My older brother, Dad, Mom… 
Even Mio!",XMESS_0028,菱形朱鷺子
