source,target,id,developer_comments
XCHAPTITLE_0002,12. Always Watching From the Side,XCHAPTITLE_0002,
XMESS_0000,Aaaaaaah!!!,XMESS_0000,トキコ
XMESS_0001,—!?,XMESS_0001,網代慎平
XMESS_0002,Ku...!!,XMESS_0002,小舟澪
XMESS_0003,E... M-Mio?,XMESS_0003,トキコ
XMESS_0004,Kaha...!,XMESS_0004,小舟澪
XMESS_0005,(Mio... she got hit by the bullet!?),XMESS_0005,網代慎平
XMESS_0006,"Mio, did you protect me!?",XMESS_0006,網代慎平
XMESS_0007,…Shin-chan… Are you okay?,XMESS_0007,小舟澪
XMESS_0008,"Don't worry about me! Hurry, get behind me...!",XMESS_0008,網代慎平
XMESS_0009,Tokiko...! You... to Mio-chan...!,XMESS_0009,菱形窓
XMESS_0010,"A, a, M-Mio...!",XMESS_0010,トキコ
XMESS_0011,Blood from Mio... blood is...! Did... did I... do this...!?,XMESS_0011,トキコ
XMESS_0012,T-Tokiko…,XMESS_0012,小舟澪
XMESS_0013,(Toki-chan has returned to her senses...),XMESS_0013,網代慎平
XMESS_0014,(Is it from the shock of shooting Mio…?),XMESS_0014,網代慎平
XMESS_0015,...I understand Tokiko... better than... anyone else...,XMESS_0015,小舟澪
XMESS_0016,That's why... I knew right away... what Tokiko was planning to do next.,XMESS_0016,小舟澪
XMESS_0017,"Mio, Mioooo!",XMESS_0017,トキコ
XMESS_0018,"I acted on my own... I'm sorry, Shin-chan...",XMESS_0018,小舟澪
XMESS_0019,Don't worry about it! You don't have to force yourself to talk anymore!,XMESS_0019,網代慎平
XMESS_0020,I might have... rushed into things... a bit...,XMESS_0020,小舟澪
XMESS_0021,But... it couldn't be helped... Normally... Tokiko would be the one to stop me...,XMESS_0021,小舟澪
XMESS_0022,But since she's... ended up... like this...,XMESS_0022,小舟澪
XMESS_0023,M-Mio-chan! Hang in there!!,XMESS_0023,菱形窓
XMESS_0024,"No, Mio! Don't leave me behind!!",XMESS_0024,トキコ
XMESS_0025,"I'm sorry for making you sad, but... I'm happy... I got to hear your true feelings at the end...",XMESS_0025,小舟澪
XMESS_0026,"Sh-Shin-chan... Sou-kun. Toki, ko... please—",XMESS_0026,小舟澪
XMESS_0027,…,XMESS_0027,小舟澪
XMESS_0028,Mio…?,XMESS_0028,トキコ
XMESS_0029,"Mio! This is a lie, right, Mio!? Open your eyes, Miooooo!!",XMESS_0029,トキコ
XMESS_0030,"You've really done it now, Tokiko.",XMESS_0030,シオリ（ハイネ）
XMESS_0031,Uwaaaah...!!,XMESS_0031,トキコ
XMESS_0032,Don't make that face. It's not like we're the ones who did it.,XMESS_0032,シデ
XMESS_0033,Haine… Shide…!!!,XMESS_0033,網代慎平
XMESS_0034,"My, Mio-chan was brave. You had a narrow escape, Shinpei-kun.",XMESS_0034,シデ
XMESS_0035,"But thanks to that, I got to see something good. Friendship truly is a precious thing.",XMESS_0035,シデ
XMESS_0036,Regaining your sanity triggered by the death of your best friend... It was a truly moving scene.,XMESS_0036,シデ
XMESS_0037,Guh... kuuu...!!,XMESS_0037,網代慎平
XMESS_0038,"Oh, what about Shadow Mio-chan?",XMESS_0038,シデ
XMESS_0039,Over here!,XMESS_0039,ミオ
XMESS_0040,"Oh, you can't move? Someone pull the nail out for Mio-chan.",XMESS_0040,シデ
XMESS_0041,Ow...! Pull it out more carefully.,XMESS_0041,ミオ
XMESS_0042,How is it?,XMESS_0042,シデ
XMESS_0043,It's fine. Something like this will heal right away.,XMESS_0043,ミオ
XMESS_0044,"That's what she says, Tokiko-chan. Isn't that great?",XMESS_0044,シデ
XMESS_0045,"The real one who was here until now, you completely killed her for us, so from now on, she is the real one.",XMESS_0045,シデ
XMESS_0046,"Please stay together with her, forever and ever.",XMESS_0046,シデ
XMESS_0047,How dare you…!,XMESS_0047,トキコ
XMESS_0048,Uwaaaaaaaah!!!,XMESS_0048,トキコ
XMESS_0049,...Eh?,XMESS_0049,網代慎平
XMESS_0050,D-Disappeared...?,XMESS_0050,菱形窓
XMESS_0051,Toki... ko...?,XMESS_0051,菱形窓
XMESS_0052,How long are you going to dawdle? I'm getting tired of waiting.,XMESS_0052,シオリ（ハイネ）
XMESS_0053,"No, no, tired of waiting or not, you've erased Tokiko-chan, haven't you?",XMESS_0053,シデ
XMESS_0054,"It doesn't matter, does it? She'd already served her purpose anyway.",XMESS_0054,シオリ（ハイネ）
XMESS_0055,"Even though we kept our promise, she betrayed us.",XMESS_0055,シオリ（ハイネ）
XMESS_0056,"Well, that's true.",XMESS_0056,シデ
XMESS_0057,What an idiot. And after I was planning to let her be together with Mio...,XMESS_0057,シオリ（ハイネ）
XMESS_0058,"It's a shame. Well, as a pawn to corner Shinpei-kun and the others, she worked quite well, didn't she?",XMESS_0058,シデ
XMESS_0059,I'll never forgive you guys!,XMESS_0059,菱形窓
XMESS_0060,"Even if I die, you guys are the only ones I'll—",XMESS_0060,網代慎平
XMESS_0061,Ow...!?,XMESS_0061,網代慎平
XMESS_0062,A thrown knife hit Shinpei's nail gun!,XMESS_0062,菱形窓
XMESS_0063,"Your relied-upon weapon is gone now too. What will you do, Shin-chan?",XMESS_0063,ミオ
XMESS_0064,"D-Damn, my only remaining weapon...!",XMESS_0064,網代慎平
XMESS_0065,"This is mostly your fault, you know, Shin-chan? Because you were ignoring me.",XMESS_0065,ミオ
XMESS_0066,Then I'll use this knife—,XMESS_0066,菱形窓
XMESS_0067,This is mine. Don't touch it without permission.,XMESS_0067,ミオ
XMESS_0068,Ugh... damn it...!,XMESS_0068,菱形窓
XMESS_0069,So... what do you guys plan to do?,XMESS_0069,シオリ（ハイネ）
XMESS_0070,"Become a Shadow, or go to the same place as Hizuru and the others...",XMESS_0070,シオリ（ハイネ）
XMESS_0071,Either way is fine.,XMESS_0071,シオリ（ハイネ）
XMESS_0072,"We're incredibly generous, you see. We'll let you choose whichever you prefer.",XMESS_0072,シデ
XMESS_0073,"Hehe... Now then, what will you do?",XMESS_0073,シオリ（ハイネ）
XMESS_0074,Ku...!,XMESS_0074,網代慎平
XMESS_0075,"(Don't give up, bird's-eye view! Take a bird's-eye view...!!)",XMESS_0075,網代慎平
XMESS_0076,"(Nagumo-sensei, Nezu-san, Totsumura-san, and Koyuba-san have been taken out...)",XMESS_0076,網代慎平
XMESS_0077,(Ushio and Mio are already gone...),XMESS_0077,網代慎平
XMESS_0078,"(In front of me are Shide and Haine, and on top of that, Shadow Mio...)",XMESS_0078,網代慎平
XMESS_0079,(I have no weapons left. And the possibility of looping from now on is...),XMESS_0079,網代慎平
XMESS_0080,Sh-Shinpei...?,XMESS_0080,菱形窓
XMESS_0081,Why have you been silent this whole time!,XMESS_0081,菱形窓
XMESS_0082,"Shinpei, say something!",XMESS_0082,菱形窓
XMESS_0083,"Ufufu, ahahahaha.",XMESS_0083,シオリ（ハイネ）
XMESS_0084,"Ahahahaha, ahahahahaha!!",XMESS_0084,シオリ（ハイネ）
