source,target,id,developer_comments
XCHAPTITLE_0002,20. Visit from Sou,XCHAPTITLE_0002,
XMESS_0000,"Hey, Shinpei! Sorry... Am I a bit early?",XMESS_0000,菱形窓
XMESS_0001,(Investigating the <color=#GF_TIPS_048>Hishigata Clinic</color>. Sou is my only breakthrough.),XMESS_0001,網代慎平
XMESS_0002,(I should be able to trust him. Sou risked his life to protect Mio.),XMESS_0002,網代慎平
XMESS_0003,"No, I've been waiting for you... Sou.",XMESS_0003,網代慎平
XMESS_0004,"Hey, Shinpei!",XMESS_0004,菱形窓
XMESS_0005,Sou…,XMESS_0005,網代慎平
XMESS_0006,Sorry... Am I a bit early?,XMESS_0006,菱形窓
XMESS_0007,"No, I've been waiting for you.",XMESS_0007,網代慎平
XMESS_0008,"(First, I need to share what I know with him.)",XMESS_0008,網代慎平
XMESS_0009,"(That way I can organize my thoughts, and more importantly--)",XMESS_0009,網代慎平
XMESS_0010,(Sou Hishigata. I can rely on him...!),XMESS_0010,網代慎平
XMESS_0011,(I'll tell him everything.),XMESS_0011,網代慎平
XMESS_0012,(About Ushio's death. And the Shadows...),XMESS_0012,網代慎平
XMESS_0013,Okay... Just the three of us can talk here.,XMESS_0013,網代慎平
XMESS_0014,"Sou, listen to what I have to say first.",XMESS_0014,網代慎平
XMESS_0015,Y-Yeah.,XMESS_0015,菱形窓
XMESS_0016,"And you too, Mio... I'll explain what happened at the Kobayakawa house again.",XMESS_0016,網代慎平
XMESS_0017,…Yeah.,XMESS_0017,小舟澪
XMESS_0018,(Sou quietly listened to my story until the end.),XMESS_0018,網代慎平
XMESS_0019,"In that house, I met Shiori-chan... No, a Shadow in the shape of Shiori-chan.",XMESS_0019,網代慎平
XMESS_0020,"Shiori-chan had already become a Shadow
before Ushio's funeral.",XMESS_0020,網代慎平
XMESS_0021,…,XMESS_0021,菱形窓
XMESS_0022,"…So, Sou…
I…",XMESS_0022,網代慎平
XMESS_0023,I get it.,XMESS_0023,菱形窓
XMESS_0024,"Ushio was killed by Shiori-chan's Shadow. That's what you're thinking, right...",XMESS_0024,菱形窓
XMESS_0025,Yeah…,XMESS_0025,網代慎平
XMESS_0026,The Yoshikawa lines on Ushio's neck... strangulation... It's true... the only one who could've done that back then was...,XMESS_0026,菱形窓
XMESS_0027,That's impossible… Shiori-chan…,XMESS_0027,小舟澪
XMESS_0028,"...And next, Mio-chan is really being targeted?",XMESS_0028,菱形窓
XMESS_0029,…,XMESS_0029,小舟澪
XMESS_0030,"Yeah…
I saw it with my own eyes…",XMESS_0030,網代慎平
XMESS_0031,"(Come on, just say it. Say that Mio was killed right in front of my eyes.)",XMESS_0031,網代慎平
XMESS_0032,"(No, I can't--)",XMESS_0032,網代慎平
XMESS_0033,"(...If I say that, I'll have to tell them that I'm repeating the same days...!!)",XMESS_0033,網代慎平
XMESS_0034,(Isn't that way too crazy of a story to just suddenly drop on them?),XMESS_0034,網代慎平
XMESS_0035,(But... Lies and secrets always lead to things falling apart.),XMESS_0035,網代慎平
XMESS_0036,"(If that happens, they might not believe anything I say anymore.)",XMESS_0036,網代慎平
XMESS_0037,"(Rather than letting that happen, maybe it'd be better to just confess everything here...)",XMESS_0037,網代慎平
XMESS_0038,…Shin-chan?,XMESS_0038,小舟澪
XMESS_0039,"(...But how should I tell them? ""I was actually killed twice myself"" !?)",XMESS_0039,網代慎平
XMESS_0040,"(If they think I'm messing around, they won't even believe the crucial part about the Shadows...)",XMESS_0040,網代慎平
XMESS_0041,Shinpei!,XMESS_0041,菱形窓
XMESS_0042,"Huh...? Ah, yeah, sorry. I got lost in thought for a bit.",XMESS_0042,網代慎平
XMESS_0043,Shadows and real humans-- Can you tell them apart at a glance?,XMESS_0043,菱形窓
XMESS_0044,"...No. I couldn't tell the difference just by looking. At least, I couldn't...",XMESS_0044,網代慎平
XMESS_0045,"I see, that's gonna be a problem...",XMESS_0045,菱形窓
XMESS_0046,"Meaning, even you, the one telling us this, might be a Shadow.",XMESS_0046,菱形窓
XMESS_0047,…!,XMESS_0047,小舟澪
XMESS_0048,...That's right. But the same goes for you...,XMESS_0048,網代慎平
XMESS_0049,…,XMESS_0049,菱形窓
XMESS_0050,"What is this…?
What even is a Shadow?",XMESS_0050,小舟澪
XMESS_0051,"Calm down, Mio-chan.",XMESS_0051,菱形窓
XMESS_0052,…,XMESS_0052,小舟澪
XMESS_0053,"Basically, these Shadows...",XMESS_0053,菱形窓
XMESS_0054,Think of them as creatures... that have lived on Hitogashima since ancient times.,XMESS_0054,菱形窓
XMESS_0055,Creatures...,XMESS_0055,網代慎平
XMESS_0056,"Creatures that mimic people... Creatures that turn the original person they copied into a ""stain"" like a shadow... is that it?",XMESS_0056,小舟澪
XMESS_0057,"Yeah... Since they show up on camera, they're living creatures that physically exist there, unlike ghosts or spirits...!!",XMESS_0057,菱形窓
XMESS_0058,"If they're living creatures, there has to be a way to deal with them. Right, Shinpei!!",XMESS_0058,菱形窓
XMESS_0059,Yeah… That's true!,XMESS_0059,網代慎平
XMESS_0060,(As expected of Sou. Being able to calmly analyze things like this shows he really is cut out to be a doctor.),XMESS_0060,網代慎平
XMESS_0061,(It really was the right choice to tell him. He's so reliable...),XMESS_0061,網代慎平
XMESS_0062,"Hey, Shin-chan! Why don't we go to Hiruko Cave right now!?",XMESS_0062,小舟澪
XMESS_0063,Huh?,XMESS_0063,網代慎平
XMESS_0064,"Karikiri-san should be familiar with the island's history, so he might know something about the Shadows too...!!",XMESS_0064,小舟澪
XMESS_0065,(That's right... Mio and I were originally planning to go to Hiruko Cave...),XMESS_0065,網代慎平
XMESS_0066,"(But I can't...! At least, not right now!!)",XMESS_0066,網代慎平
XMESS_0067,(That Shadow is near the shrine. It's too dangerous to get close!!),XMESS_0067,網代慎平
XMESS_0068,"Um... If we're going to go, c-can we do it tomorrow?",XMESS_0068,網代慎平
XMESS_0069,"Tomorrow? Tomorrow is the... <color=#GF_TIPS_106>Hitogashima Summer Festival</color>, you know!?",XMESS_0069,菱形窓
XMESS_0070,"!!?
Oh… the festival…",XMESS_0070,網代慎平
XMESS_0071,I knew it... you totally forgot! Tomorrow is the busiest day of the year for the shrine...,XMESS_0071,菱形窓
